customer_id,week_start,active_users,sessions,active_days,usage_minutes,features_used,p001_sessions,p002_sessions,p003_sessions,p004_sessions,p005_sessions
C14830,2025-05-26,1020,7188,7,151688,4,2915,1379,1642,1252,0
C16998,2023-03-27,0,0,0,0,0,0,0,0,0,0
C06392,2024-12-30,105,668,6,11337,4,323,132,136,77,0
C01804,2023-11-20,0,0,0,0,0,0,0,0,0,0
C00903,2023-02-13,0,0,0,0,0,0,0,0,0,0
C03887,2025-08-11,1341,9938,7,203219,4,4668,2306,0,1723,1241
C09601,2025-11-10,0,0,0,0,0,0,0,0,0,0
C17393,2025-09-22,131,944,7,16408,3,455,214,275,0,0
C01118,2024-12-09,0,0,0,0,0,0,0,0,0,0
C07603,2023-04-24,0,0,0,0,0,0,0,0,0,0
C04276,2023-11-20,0,0,0,0,0,0,0,0,0,0
C05972,2025-11-03,0,0,0,0,0,0,0,0,0,0
C03002,2025-05-12,0,0,0,0,0,0,0,0,0,0
C18123,2023-12-25,0,0,0,0,0,0,0,0,0,0
C17630,2023-04-10,0,0,0,0,0,0,0,0,0,0
C03622,2025-10-13,0,0,0,0,0,0,0,0,0,0
C06093,2023-01-16,0,0,0,0,0,0,0,0,0,0
C09206,2025-11-10,117,364,4,6748,1,364,0,0,0,0
C17263,2025-08-25,0,0,0,0,0,0,0,0,0,0
C02899,2023-04-24,0,0,0,0,0,0,0,0,0,0
C08199,2025-07-28,0,0,0,0,0,0,0,0,0,0
C14550,2024-11-04,0,0,0,0,0,0,0,0,0,0
C11794,2023-05-22,0,0,0,0,0,0,0,0,0,0
C11851,2024-04-29,0,0,0,0,0,0,0,0,0,0
C13156,2023-09-18,0,0,0,0,0,0,0,0,0,0
C12420,2023-02-13,0,0,0,0,0,0,0,0,0,0
C19837,2024-03-25,0,0,0,0,0,0,0,0,0,0
C11902,2025-03-10,22,73,5,1217,1,73,0,0,0,0
C01646,2024-12-30,0,0,0,0,0,0,0,0,0,0
C07592,2024-05-06,0,0,0,0,0,0,0,0,0,0
C12616,2023-09-25,0,0,0,0,0,0,0,0,0,0
C16171,2023-12-25,0,0,0,0,0,0,0,0,0,0
C01394,2024-05-06,0,0,0,0,0,0,0,0,0,0
C02915,2024-09-30,29,101,7,2307,1,101,0,0,0,0
C10584,2025-08-18,0,0,0,0,0,0,0,0,0,0
C15700,2024-10-28,0,0,0,0,0,0,0,0,0,0
C16830,2024-10-21,0,0,0,0,0,0,0,0,0,0
C02695,2023-01-16,0,0,0,0,0,0,0,0,0,0
C19802,2023-09-25,0,0,0,0,0,0,0,0,0,0
C03340,2025-03-24,0,0,0,0,0,0,0,0,0,0
C07514,2023-06-05,0,0,0,0,0,0,0,0,0,0
C14561,2025-08-18,79,447,6,8030,2,283,0,164,0,0
C18250,2024-09-09,0,0,0,0,0,0,0,0,0,0
C14066,2024-12-09,203,1619,4,31213,4,728,365,0,310,216
C13177,2025-08-25,0,0,0,0,0,0,0,0,0,0
C12144,2024-01-22,0,0,0,0,0,0,0,0,0,0
C03979,2024-03-18,0,0,0,0,0,0,0,0,0,0
C18804,2023-06-19,0,0,0,0,0,0,0,0,0,0
C08888,2023-05-15,0,0,0,0,0,0,0,0,0,0
C15753,2023-07-03,0,0,0,0,0,0,0,0,0,0
C10734,2023-05-08,0,0,0,0,0,0,0,0,0,0
C19515,2024-08-26,5,23,4,457,2,15,8,0,0,0
C18728,2024-09-09,0,0,0,0,0,0,0,0,0,0
C10049,2024-12-16,0,0,0,0,0,0,0,0,0,0
C16922,2023-04-17,0,0,0,0,0,0,0,0,0,0
C08402,2024-12-09,6,15,3,307,1,15,0,0,0,0
C09745,2023-03-27,0,0,0,0,0,0,0,0,0,0
C12526,2024-06-03,0,0,0,0,0,0,0,0,0,0
C09059,2025-07-07,5,21,4,414,1,21,0,0,0,0
C05354,2025-10-27,0,0,0,0,0,0,0,0,0,0
C07117,2026-01-05,0,0,0,0,0,0,0,0,0,0
C16287,2024-07-15,0,0,0,0,0,0,0,0,0,0
C04218,2023-11-06,0,0,0,0,0,0,0,0,0,0
C11062,2024-01-22,0,0,0,0,0,0,0,0,0,0
C19092,2023-06-26,0,0,0,0,0,0,0,0,0,0
C04457,2025-09-15,7,28,6,459,1,28,0,0,0,0
C06820,2024-09-09,0,0,0,0,0,0,0,0,0,0
C12900,2023-01-16,0,0,0,0,0,0,0,0,0,0
C18132,2025-06-23,0,0,0,0,0,0,0,0,0,0
C10388,2023-04-17,0,0,0,0,0,0,0,0,0,0
C05095,2023-01-02,0,0,0,0,0,0,0,0,0,0
C06665,2023-04-24,0,0,0,0,0,0,0,0,0,0
C02881,2025-08-04,0,0,0,0,0,0,0,0,0,0
C03349,2024-03-11,0,0,0,0,0,0,0,0,0,0
C17955,2024-07-08,0,0,0,0,0,0,0,0,0,0
C18336,2023-11-27,0,0,0,0,0,0,0,0,0,0
C03539,2023-12-25,0,0,0,0,0,0,0,0,0,0
C09320,2024-04-01,0,0,0,0,0,0,0,0,0,0
C07044,2023-08-14,0,0,0,0,0,0,0,0,0,0
C08260,2024-04-01,0,0,0,0,0,0,0,0,0,0
C19366,2023-11-27,0,0,0,0,0,0,0,0,0,0
C19949,2025-12-22,18,116,7,2362,3,71,29,16,0,0
C10068,2024-03-18,0,0,0,0,0,0,0,0,0,0
C05009,2024-04-01,0,0,0,0,0,0,0,0,0,0
C02457,2024-05-13,0,0,0,0,0,0,0,0,0,0
C04503,2025-10-06,142,464,4,7732,1,464,0,0,0,0
C09115,2023-12-18,0,0,0,0,0,0,0,0,0,0
C16142,2025-09-15,0,0,0,0,0,0,0,0,0,0
C08118,2024-04-22,0,0,0,0,0,0,0,0,0,0
C18925,2023-09-18,0,0,0,0,0,0,0,0,0,0
C16797,2023-04-03,0,0,0,0,0,0,0,0,0,0
C01418,2025-05-26,112,678,7,13869,2,450,228,0,0,0
C06082,2024-12-16,0,0,0,0,0,0,0,0,0,0
C16111,2024-11-04,0,0,0,0,0,0,0,0,0,0
C17785,2025-09-22,0,0,0,0,0,0,0,0,0,0
C08484,2023-09-11,0,0,0,0,0,0,0,0,0,0
C11102,2025-07-07,0,0,0,0,0,0,0,0,0,0
C04297,2023-03-06,0,0,0,0,0,0,0,0,0,0
C15059,2023-11-20,0,0,0,0,0,0,0,0,0,0
C18346,2025-09-15,4,22,6,367,2,13,0,9,0,0
C05672,2024-03-11,0,0,0,0,0,0,0,0,0,0
C12361,2024-10-21,0,0,0,0,0,0,0,0,0,0
C10577,2025-07-14,0,0,0,0,0,0,0,0,0,0
C07712,2023-03-20,0,0,0,0,0,0,0,0,0,0
C13486,2023-05-01,0,0,0,0,0,0,0,0,0,0
C17026,2025-11-17,0,0,0,0,0,0,0,0,0,0
C10936,2023-10-09,0,0,0,0,0,0,0,0,0,0
C04455,2025-01-06,0,0,0,0,0,0,0,0,0,0
C11340,2024-04-08,0,0,0,0,0,0,0,0,0,0
C10353,2025-06-02,83,331,6,6506,3,201,0,66,0,64
C08552,2025-03-10,0,0,0,0,0,0,0,0,0,0
C07653,2025-03-17,34,147,5,3137,1,147,0,0,0,0
C13504,2023-01-09,0,0,0,0,0,0,0,0,0,0
C14463,2025-09-01,233,1223,7,22107,3,660,0,366,0,197
C16824,2025-05-05,199,1137,6,19582,3,644,0,276,217,0
C17682,2024-03-25,0,0,0,0,0,0,0,0,0,0
C15815,2023-11-06,0,0,0,0,0,0,0,0,0,0
C04918,2025-03-17,0,0,0,0,0,0,0,0,0,0
C05196,2024-10-21,394,2421,6,42608,3,1259,0,699,463,0
C10324,2023-09-18,0,0,0,0,0,0,0,0,0,0
C17531,2024-12-09,100,529,7,9466,2,342,0,187,0,0
C00924,2023-04-10,0,0,0,0,0,0,0,0,0,0
C08889,2025-02-24,0,0,0,0,0,0,0,0,0,0
C11854,2025-06-09,0,0,0,0,0,0,0,0,0,0
C03170,2024-02-05,0,0,0,0,0,0,0,0,0,0
C19294,2024-02-19,0,0,0,0,0,0,0,0,0,0
C07091,2023-05-01,0,0,0,0,0,0,0,0,0,0
C12047,2025-02-17,0,0,0,0,0,0,0,0,0,0
C14439,2025-03-03,17,91,6,1494,3,51,14,26,0,0
C15610,2023-07-31,0,0,0,0,0,0,0,0,0,0
C01106,2024-02-19,0,0,0,0,0,0,0,0,0,0
C03098,2023-12-04,0,0,0,0,0,0,0,0,0,0
C06897,2025-03-03,0,0,0,0,0,0,0,0,0,0
C14263,2023-01-09,0,0,0,0,0,0,0,0,0,0
C06881,2025-01-20,0,0,0,0,0,0,0,0,0,0
C07909,2025-06-23,26,79,3,1209,1,79,0,0,0,0
C07993,2023-03-06,0,0,0,0,0,0,0,0,0,0
C05837,2023-09-11,0,0,0,0,0,0,0,0,0,0
C00748,2023-06-12,0,0,0,0,0,0,0,0,0,0
C09117,2023-11-20,0,0,0,0,0,0,0,0,0,0
C04978,2025-05-26,0,0,0,0,0,0,0,0,0,0
C02505,2023-04-03,0,0,0,0,0,0,0,0,0,0
C04568,2025-02-24,0,0,0,0,0,0,0,0,0,0
C00134,2025-07-07,0,0,0,0,0,0,0,0,0,0
C15813,2025-05-05,0,0,0,0,0,0,0,0,0,0
C03785,2025-12-01,0,0,0,0,0,0,0,0,0,0
C00533,2024-06-03,0,0,0,0,0,0,0,0,0,0
C07591,2024-05-06,0,0,0,0,0,0,0,0,0,0
C02740,2023-04-10,0,0,0,0,0,0,0,0,0,0
C08123,2024-03-25,0,0,0,0,0,0,0,0,0,0
C02922,2023-11-27,0,0,0,0,0,0,0,0,0,0
C10656,2025-03-24,0,0,0,0,0,0,0,0,0,0
C02178,2025-03-10,628,3972,7,84222,3,2271,1081,0,0,620
C15992,2025-06-30,1710,17479,7,328653,5,6604,3313,3321,2379,1862
C09876,2023-09-18,0,0,0,0,0,0,0,0,0,0
C15663,2023-09-18,0,0,0,0,0,0,0,0,0,0
C19222,2025-05-05,7,26,6,537,2,18,0,0,0,8
C19025,2025-04-07,104,525,6,9249,2,360,0,165,0,0
C07832,2024-03-11,0,0,0,0,0,0,0,0,0,0
C11488,2024-06-24,0,0,0,0,0,0,0,0,0,0
C06254,2025-02-10,25,113,7,1874,2,93,0,0,20,0
C15418,2023-06-19,0,0,0,0,0,0,0,0,0,0
C14112,2023-04-24,0,0,0,0,0,0,0,0,0,0
C06892,2023-09-11,0,0,0,0,0,0,0,0,0,0
C17287,2023-05-15,0,0,0,0,0,0,0,0,0,0
C10167,2024-08-19,0,0,0,0,0,0,0,0,0,0
C08896,2024-12-09,0,0,0,0,0,0,0,0,0,0
C14476,2024-03-11,0,0,0,0,0,0,0,0,0,0
C01592,2024-12-23,0,0,0,0,0,0,0,0,0,0
C19928,2023-07-31,0,0,0,0,0,0,0,0,0,0
C18596,2023-12-25,0,0,0,0,0,0,0,0,0,0
C14650,2024-10-28,452,2570,7,40160,3,1527,0,0,590,453
C19249,2024-11-18,29,98,3,1743,1,98,0,0,0,0
C06683,2025-09-22,510,3766,7,77237,3,1940,890,936,0,0
C07652,2024-11-11,0,0,0,0,0,0,0,0,0,0
C17951,2025-07-28,1567,11026,7,236363,3,5849,3056,0,2121,0
C02579,2024-09-16,20,68,4,1366,1,68,0,0,0,0
C16345,2024-09-09,0,0,0,0,0,0,0,0,0,0
C06635,2023-12-04,0,0,0,0,0,0,0,0,0,0
C11087,2024-11-18,0,0,0,0,0,0,0,0,0,0
C19716,2024-05-27,0,0,0,0,0,0,0,0,0,0
C19560,2025-05-26,0,0,0,0,0,0,0,0,0,0
C17227,2024-11-04,0,0,0,0,0,0,0,0,0,0
C06287,2024-01-01,0,0,0,0,0,0,0,0,0,0
C05629,2024-03-25,0,0,0,0,0,0,0,0,0,0
C18420,2023-05-15,0,0,0,0,0,0,0,0,0,0
C06463,2024-04-08,0,0,0,0,0,0,0,0,0,0
C07427,2023-11-13,0,0,0,0,0,0,0,0,0,0
C15150,2024-02-19,0,0,0,0,0,0,0,0,0,0
C05748,2025-11-03,0,0,0,0,0,0,0,0,0,0
C07918,2023-04-17,0,0,0,0,0,0,0,0,0,0
C17716,2023-08-07,0,0,0,0,0,0,0,0,0,0
C07291,2024-01-22,0,0,0,0,0,0,0,0,0,0
C16712,2024-05-06,17,77,6,1297,2,60,0,0,17,0
C02223,2023-05-29,0,0,0,0,0,0,0,0,0,0
C02007,2024-09-30,14,48,2,943,1,48,0,0,0,0
C01508,2024-08-12,0,0,0,0,0,0,0,0,0,0
C12491,2025-07-21,0,0,0,0,0,0,0,0,0,0
C11870,2025-05-12,1,4,4,61,1,4,0,0,0,0
C01448,2026-01-05,0,0,0,0,0,0,0,0,0,0
C12776,2024-03-18,0,0,0,0,0,0,0,0,0,0
C19424,2024-04-29,0,0,0,0,0,0,0,0,0,0
C07163,2023-02-20,0,0,0,0,0,0,0,0,0,0
C02203,2024-10-14,0,0,0,0,0,0,0,0,0,0
C05551,2024-06-17,0,0,0,0,0,0,0,0,0,0
C14023,2023-06-05,0,0,0,0,0,0,0,0,0,0
C09263,2025-02-17,329,1524,6,32127,2,1194,0,0,0,330
C11621,2025-11-10,0,0,0,0,0,0,0,0,0,0
C02824,2025-01-13,0,0,0,0,0,0,0,0,0,0
C10451,2023-03-20,0,0,0,0,0,0,0,0,0,0
C00235,2023-10-23,0,0,0,0,0,0,0,0,0,0
C01136,2023-08-21,0,0,0,0,0,0,0,0,0,0
C01322,2024-03-18,3,4,4,70,1,4,0,0,0,0
C05746,2023-04-17,0,0,0,0,0,0,0,0,0,0
C06876,2025-04-21,7,39,6,702,2,31,0,0,0,8
C03409,2024-01-29,0,0,0,0,0,0,0,0,0,0
C07735,2024-08-05,0,0,0,0,0,0,0,0,0,0
C05307,2024-06-17,0,0,0,0,0,0,0,0,0,0
C07924,2025-02-10,0,0,0,0,0,0,0,0,0,0
C12338,2025-07-28,0,0,0,0,0,0,0,0,0,0
C06239,2023-02-13,0,0,0,0,0,0,0,0,0,0
C00785,2023-08-14,0,0,0,0,0,0,0,0,0,0
C14502,2024-12-30,0,0,0,0,0,0,0,0,0,0
C17622,2023-09-18,0,0,0,0,0,0,0,0,0,0
C13454,2025-11-03,0,0,0,0,0,0,0,0,0,0
C13900,2023-11-06,0,0,0,0,0,0,0,0,0,0
C19455,2025-09-29,0,0,0,0,0,0,0,0,0,0
C09264,2025-03-10,0,0,0,0,0,0,0,0,0,0
C10890,2023-09-25,0,0,0,0,0,0,0,0,0,0
C11742,2024-01-01,0,0,0,0,0,0,0,0,0,0
C02344,2024-01-22,0,0,0,0,0,0,0,0,0,0
C05198,2025-09-22,0,0,0,0,0,0,0,0,0,0
C12587,2023-08-07,0,0,0,0,0,0,0,0,0,0
C03307,2025-07-21,35,184,5,3565,2,140,0,0,44,0
C08528,2024-07-15,0,0,0,0,0,0,0,0,0,0
C17474,2024-04-15,92,511,6,10314,2,355,156,0,0,0
C00676,2024-09-09,7,31,4,713,2,22,9,0,0,0
C12890,2024-03-25,0,0,0,0,0,0,0,0,0,0
C19881,2024-03-11,0,0,0,0,0,0,0,0,0,0
C11239,2025-04-14,111,499,6,10306,2,328,171,0,0,0
C12497,2024-03-25,0,0,0,0,0,0,0,0,0,0
C17657,2024-01-01,0,0,0,0,0,0,0,0,0,0
C04606,2024-08-26,0,0,0,0,0,0,0,0,0,0
C10878,2023-12-11,0,0,0,0,0,0,0,0,0,0
C08992,2025-10-13,0,0,0,0,0,0,0,0,0,0
C08299,2024-07-22,20,68,7,1330,1,68,0,0,0,0
C14180,2025-08-04,0,0,0,0,0,0,0,0,0,0
C05926,2024-12-16,0,0,0,0,0,0,0,0,0,0
C09021,2023-01-23,0,0,0,0,0,0,0,0,0,0
C05143,2025-05-12,0,0,0,0,0,0,0,0,0,0
C04180,2024-12-16,0,0,0,0,0,0,0,0,0,0
C05395,2025-01-27,0,0,0,0,0,0,0,0,0,0
C03184,2025-05-05,0,0,0,0,0,0,0,0,0,0
C08924,2023-10-23,0,0,0,0,0,0,0,0,0,0
C13136,2024-12-23,123,596,7,10802,3,349,144,0,0,103
C15772,2023-12-18,0,0,0,0,0,0,0,0,0,0
C08197,2025-02-17,0,0,0,0,0,0,0,0,0,0
C07800,2024-04-08,55,273,7,3734,2,184,0,0,89,0
C10439,2025-02-10,2104,19268,7,393921,5,7182,3437,3736,2857,2056
C09384,2023-07-24,0,0,0,0,0,0,0,0,0,0
C18308,2024-12-23,0,0,0,0,0,0,0,0,0,0
C19880,2023-07-03,0,0,0,0,0,0,0,0,0,0
C08808,2025-08-04,0,0,0,0,0,0,0,0,0,0
C19164,2025-06-23,0,0,0,0,0,0,0,0,0,0
C07035,2024-10-21,7,21,5,337,1,21,0,0,0,0
C05409,2024-07-22,0,0,0,0,0,0,0,0,0,0
C06172,2025-09-08,10,29,5,613,1,29,0,0,0,0
C16055,2023-08-07,0,0,0,0,0,0,0,0,0,0
C17005,2023-06-19,0,0,0,0,0,0,0,0,0,0
C13509,2024-12-02,7,29,5,542,3,13,13,0,3,0
C06775,2023-12-04,0,0,0,0,0,0,0,0,0,0
C02909,2024-05-13,0,0,0,0,0,0,0,0,0,0
C05805,2024-11-11,0,0,0,0,0,0,0,0,0,0
C01793,2024-07-08,10,48,7,829,2,37,11,0,0,0
C04519,2025-09-29,54,394,7,7811,4,188,94,0,63,49
C04758,2024-10-14,0,0,0,0,0,0,0,0,0,0
C10184,2024-04-29,0,0,0,0,0,0,0,0,0,0
C05597,2024-06-17,1274,5614,6,111644,2,4354,0,0,0,1260
C18802,2024-11-18,0,0,0,0,0,0,0,0,0,0
C04086,2024-06-10,0,0,0,0,0,0,0,0,0,0
C09921,2024-03-11,0,0,0,0,0,0,0,0,0,0
C01039,2024-11-18,11,65,7,1110,3,39,15,11,0,0
C15926,2023-01-02,0,0,0,0,0,0,0,0,0,0
C10235,2025-06-09,0,0,0,0,0,0,0,0,0,0
C08526,2023-02-06,0,0,0,0,0,0,0,0,0,0
C04535,2025-09-08,11,26,4,413,1,26,0,0,0,0
C10735,2024-01-01,0,0,0,0,0,0,0,0,0,0
C18738,2025-02-17,0,0,0,0,0,0,0,0,0,0
C18431,2025-03-31,21,76,5,1214,2,53,0,0,23,0
C15328,2024-11-04,27,246,7,4309,4,100,33,72,41,0
C16557,2023-01-23,0,0,0,0,0,0,0,0,0,0
C01392,2023-11-06,0,0,0,0,0,0,0,0,0,0
C15757,2024-03-04,0,0,0,0,0,0,0,0,0,0
C06831,2023-10-02,0,0,0,0,0,0,0,0,0,0
C01643,2023-11-06,0,0,0,0,0,0,0,0,0,0
C03085,2023-01-16,0,0,0,0,0,0,0,0,0,0
C18985,2024-12-30,0,0,0,0,0,0,0,0,0,0
C12061,2024-04-01,8,67,7,1235,3,30,0,16,21,0
C02790,2023-10-16,0,0,0,0,0,0,0,0,0,0
C17562,2023-02-13,0,0,0,0,0,0,0,0,0,0
C04697,2025-10-06,16,66,6,1228,3,40,0,0,16,10
C00769,2024-10-28,14,81,5,1219,2,54,27,0,0,0
C13937,2025-06-16,0,0,0,0,0,0,0,0,0,0
C17795,2023-04-10,0,0,0,0,0,0,0,0,0,0
C01965,2025-03-24,0,0,0,0,0,0,0,0,0,0
C18034,2023-01-30,0,0,0,0,0,0,0,0,0,0
C05565,2023-05-15,0,0,0,0,0,0,0,0,0,0
C09926,2023-11-13,0,0,0,0,0,0,0,0,0,0
C17234,2024-09-16,150,456,3,7940,1,456,0,0,0,0
C03659,2023-10-02,0,0,0,0,0,0,0,0,0,0
C17072,2023-04-17,0,0,0,0,0,0,0,0,0,0
C11980,2023-03-20,0,0,0,0,0,0,0,0,0,0
C07297,2023-09-18,0,0,0,0,0,0,0,0,0,0
C16767,2024-11-18,0,0,0,0,0,0,0,0,0,0
C18332,2024-03-04,0,0,0,0,0,0,0,0,0,0
C16070,2025-02-03,8,56,6,1142,4,31,9,9,7,0
C18172,2024-09-16,0,0,0,0,0,0,0,0,0,0
C16667,2024-10-14,445,2893,7,47915,3,1515,798,0,580,0
C04894,2023-08-21,0,0,0,0,0,0,0,0,0,0
C18222,2024-05-20,0,0,0,0,0,0,0,0,0,0
C09589,2024-02-19,0,0,0,0,0,0,0,0,0,0
C02518,2023-10-09,0,0,0,0,0,0,0,0,0,0
C15826,2024-04-01,0,0,0,0,0,0,0,0,0,0
C12587,2023-02-27,0,0,0,0,0,0,0,0,0,0
C00226,2024-08-26,0,0,0,0,0,0,0,0,0,0
C12025,2023-01-16,0,0,0,0,0,0,0,0,0,0
C01331,2023-05-29,0,0,0,0,0,0,0,0,0,0
C01584,2023-05-01,0,0,0,0,0,0,0,0,0,0
C14525,2024-04-08,0,0,0,0,0,0,0,0,0,0
C17195,2023-07-17,0,0,0,0,0,0,0,0,0,0
C04537,2025-12-22,180,726,5,14684,2,556,0,0,0,170
C19314,2025-10-06,0,0,0,0,0,0,0,0,0,0
C15318,2025-09-01,0,0,0,0,0,0,0,0,0,0
C01482,2023-08-07,0,0,0,0,0,0,0,0,0,0
C10371,2025-03-17,0,0,0,0,0,0,0,0,0,0
C10481,2025-04-28,270,2193,7,44107,5,839,419,452,298,185
C14776,2024-07-22,0,0,0,0,0,0,0,0,0,0
C03839,2024-10-14,407,2187,5,43476,2,1421,766,0,0,0
C16311,2024-05-06,0,0,0,0,0,0,0,0,0,0
C08856,2023-11-13,0,0,0,0,0,0,0,0,0,0
C16537,2024-07-22,0,0,0,0,0,0,0,0,0,0
C07460,2025-12-15,0,0,0,0,0,0,0,0,0,0
C18709,2025-10-06,0,0,0,0,0,0,0,0,0,0
C14870,2023-05-01,0,0,0,0,0,0,0,0,0,0
C08450,2023-10-02,0,0,0,0,0,0,0,0,0,0
C14186,2023-09-25,0,0,0,0,0,0,0,0,0,0
C17791,2023-10-02,0,0,0,0,0,0,0,0,0,0
C07663,2023-04-03,0,0,0,0,0,0,0,0,0,0
C02732,2025-03-31,10,51,7,962,3,38,8,0,0,5
C02714,2025-08-18,0,0,0,0,0,0,0,0,0,0
C04358,2023-04-17,0,0,0,0,0,0,0,0,0,0
C18312,2023-09-11,0,0,0,0,0,0,0,0,0,0
C09057,2024-01-22,0,0,0,0,0,0,0,0,0,0
C05364,2023-10-09,0,0,0,0,0,0,0,0,0,0
C06447,2024-12-16,0,0,0,0,0,0,0,0,0,0
C08175,2024-12-09,0,0,0,0,0,0,0,0,0,0
C11452,2023-04-24,0,0,0,0,0,0,0,0,0,0
C07658,2025-02-03,0,0,0,0,0,0,0,0,0,0
C00636,2024-03-18,0,0,0,0,0,0,0,0,0,0
C07518,2023-02-27,0,0,0,0,0,0,0,0,0,0
C11613,2025-05-12,0,0,0,0,0,0,0,0,0,0
C13352,2023-04-24,0,0,0,0,0,0,0,0,0,0
C13710,2024-12-30,36,281,6,5293,4,120,58,0,51,52
C00821,2023-11-27,0,0,0,0,0,0,0,0,0,0
C02596,2024-12-23,0,0,0,0,0,0,0,0,0,0
C13603,2023-11-06,0,0,0,0,0,0,0,0,0,0
C07884,2024-08-12,0,0,0,0,0,0,0,0,0,0
C08183,2024-11-11,0,0,0,0,0,0,0,0,0,0
C19054,2023-11-13,0,0,0,0,0,0,0,0,0,0
C12700,2025-06-02,25,124,6,2434,2,79,45,0,0,0
C04292,2024-02-05,0,0,0,0,0,0,0,0,0,0
C06471,2023-01-30,0,0,0,0,0,0,0,0,0,0
C15501,2025-03-10,0,0,0,0,0,0,0,0,0,0
C18700,2025-06-23,6,18,5,303,1,18,0,0,0,0
C07579,2025-06-30,0,0,0,0,0,0,0,0,0,0
C18387,2023-04-10,0,0,0,0,0,0,0,0,0,0
C10784,2023-10-16,0,0,0,0,0,0,0,0,0,0
C07817,2023-07-03,0,0,0,0,0,0,0,0,0,0
C15981,2024-02-12,0,0,0,0,0,0,0,0,0,0
C01028,2025-06-16,0,0,0,0,0,0,0,0,0,0
C11394,2025-08-11,0,0,0,0,0,0,0,0,0,0
C06236,2024-03-18,0,0,0,0,0,0,0,0,0,0
