customer_id,contract_id,churn_date,churn_reason,churn_probability,health_score_at_churn,behaviour_at_churn
C11248,CT011248,2025-03-29,Lack of Required Features,0.0033,54.28,Stable
C02585,CT002585,2024-08-14,Poor Customer Experience,0.0183,58.19,Declining
C09432,CT009432,2025-04-29,Contract / Renewal Decision,0.0253,31.05,Declining
C01039,CT001039,2024-10-21,Poor Customer Experience,0.02,40.04,Rapidly Declining
C04781,CT004781,2025-04-15,Contract / Renewal Decision,0.0258,34.32,Declining
C03064,CT003064,2025-01-11,Contract / Renewal Decision,0.0158,26.43,Rapidly Declining
C17702,CT017702,2025-01-17,Low Product Engagement,0.006,50.23,Declining
C07823,CT007823,2025-12-06,Business / Budget Constraints,0.0413,40.82,Declining
C08679,CT008679,2024-11-14,Business / Budget Constraints,0.0035,63.65,Stable
C10843,CT010843,2024-09-04,Low Product Engagement,0.0039,85.03,Stable
C10125,CT010125,2024-12-13,Poor Customer Experience,0.0105,32.66,Declining
C18190,CT018190,2025-05-02,Product / Technical Issues,0.0023,52.43,Stable
C10471,CT010471,2024-08-01,Business / Budget Constraints,0.0016,77.54,Stable
C11990,CT011990,2025-12-23,Business / Budget Constraints,0.0173,12.98,Declining
C02981,CT002981,2025-05-26,Low Product Engagement,0.0371,0.82,Rapidly Declining
C18390,CT018390,2025-02-15,Low Product Engagement,0.0057,47.97,Declining
C00540,CT000540,2025-07-17,Product / Technical Issues,0.0386,20.79,Declining
C09377,CT009377,2025-11-01,Product / Technical Issues,0.0077,26.2,Declining
C06259,CT006259,2024-04-14,Lack of Required Features,0.0094,45.04,Declining
C09590,CT009590,2024-05-28,Low Product Engagement,0.0024,87.81,Stable
C07347,CT007347,2025-02-23,Low Product Engagement,0.005,82.1,Stable
C05723,CT005723,2025-12-01,Low Product Engagement,0.0066,66.51,Stable
C19872,CT019872,2025-06-18,Product / Technical Issues,0.0074,36.48,Declining
C12934,CT012934,2025-09-12,Business / Budget Constraints,0.0147,25.79,Declining
C11042,CT011042,2025-08-18,Poor Customer Experience,0.0085,47.94,Stable
C11829,CT011829,2025-10-02,Low Product Engagement,0.0044,77.47,Stable
C11247,CT011247,2025-04-11,Poor Customer Experience,0.12,27.24,Rapidly Declining
C12978,CT012978,2025-04-24,Contract / Renewal Decision,0.0167,28.88,Declining
C06619,CT006619,2025-06-25,Low Product Engagement,0.0072,49.76,Declining
C16180,CT016180,2025-02-23,Low Product Engagement,0.0033,55.03,Declining
C06095,CT006095,2025-03-11,Contract / Renewal Decision,0.0008,88.44,Stable
C16032,CT016032,2024-07-15,Contract / Renewal Decision,0.0011,76.28,Stable
C08592,CT008592,2025-07-07,Business / Budget Constraints,0.0165,11.21,Declining
C18559,CT018559,2024-10-15,Poor Customer Experience,0.0074,58.41,Stable
C06857,CT006857,2025-02-12,Poor Customer Experience,0.0221,30.61,Declining
C19847,CT019847,2025-03-15,Low Product Engagement,0.0269,28.5,Declining
C00464,CT000464,2025-05-02,Low Product Engagement,0.0283,22.77,Declining
C00484,CT000484,2024-12-29,Business / Budget Constraints,0.0287,37.67,Declining
C03467,CT003467,2025-11-11,Poor Customer Experience,0.0024,89.1,Stable
C13095,CT013095,2024-11-14,Poor Customer Experience,0.0101,63.28,Declining
C14283,CT014283,2025-05-12,Poor Customer Experience,0.0156,16.99,Declining
C08169,CT008169,2025-11-13,Poor Customer Experience,0.0178,23.3,Declining
C01924,CT001924,2025-04-19,Low Product Engagement,0.0016,89.58,Stable
C19076,CT019076,2025-08-12,Product / Technical Issues,0.0208,70.45,Declining
C17880,CT017880,2025-02-19,Contract / Renewal Decision,0.0129,58.21,Declining
C00900,CT000900,2024-06-16,Business / Budget Constraints,0.0221,28.19,Declining
C12196,CT012196,2025-09-21,Low Product Engagement,0.0186,46.19,Declining
C00929,CT000929,2025-08-26,Business / Budget Constraints,0.0307,4.22,Rapidly Declining
C05664,CT005664,2024-12-15,Contract / Renewal Decision,0.0051,71.3,Stable
C04682,CT004682,2024-08-05,Lack of Required Features,0.0725,38.12,Rapidly Declining
C18903,CT018903,2025-02-04,Product / Technical Issues,0.002,67.81,Stable
C04380,CT004380,2025-05-28,Contract / Renewal Decision,0.002,76.71,Stable
C12203,CT012203,2025-10-14,Product / Technical Issues,0.0147,35.68,Declining
C03806,CT003806,2025-01-03,Contract / Renewal Decision,0.0333,27.05,Declining
C15720,CT015720,2025-10-21,Lack of Required Features,0.0131,43.73,Declining
C00592,CT000592,2025-03-18,Low Product Engagement,0.0347,11.3,Declining
C04702,CT004702,2025-07-15,Contract / Renewal Decision,0.0135,36.03,Declining
C03321,CT003321,2025-11-26,Poor Customer Experience,0.0012,72.05,Improving
C04570,CT004570,2025-07-21,Contract / Renewal Decision,0.0353,8.87,Rapidly Declining
C16197,CT016197,2025-12-08,Low Product Engagement,0.0094,40.13,Declining
C00328,CT000328,2025-06-15,Low Product Engagement,0.0232,47.44,Declining
C16285,CT016285,2025-10-29,Product / Technical Issues,0.0353,0.0,Rapidly Declining
C17156,CT017156,2024-07-24,Low Product Engagement,0.0196,46.76,Declining
C14675,CT014675,2025-01-27,Business / Budget Constraints,0.0048,48.17,Declining
C09649,CT009649,2025-10-16,Product / Technical Issues,0.0058,68.06,Stable
C02947,CT002947,2025-10-04,Product / Technical Issues,0.0021,75.03,Stable
C01471,CT001471,2025-07-30,Lack of Required Features,0.0039,53.47,Stable
C16619,CT016619,2025-04-29,Low Product Engagement,0.0183,34.95,Rapidly Declining
C05972,CT005972,2024-07-09,Low Product Engagement,0.017,43.79,Rapidly Declining
C16772,CT016772,2024-07-19,Contract / Renewal Decision,0.0009,62.4,Stable
C04206,CT004206,2025-06-02,Lack of Required Features,0.0358,19.7,Rapidly Declining
C11304,CT011304,2025-06-30,Contract / Renewal Decision,0.0072,46.39,Declining
C13688,CT013688,2024-12-09,Low Product Engagement,0.0164,58.37,Declining
C15151,CT015151,2025-05-22,Poor Customer Experience,0.0211,43.12,Declining
C09131,CT009131,2025-11-28,Poor Customer Experience,0.0166,63.62,Declining
C15818,CT015818,2025-06-25,Poor Customer Experience,0.0049,74.1,Stable
C16788,CT016788,2026-01-05,Poor Customer Experience,0.0021,64.52,Stable
C16170,CT016170,2025-08-27,Contract / Renewal Decision,0.0027,53.26,Declining
C17428,CT017428,2025-11-25,Poor Customer Experience,0.0027,89.0,Stable
C07716,CT007716,2024-08-13,Low Product Engagement,0.0244,37.71,Rapidly Declining
C12274,CT012274,2025-05-02,Contract / Renewal Decision,0.0111,61.83,Declining
C04673,CT004673,2025-04-02,Low Product Engagement,0.0125,58.97,Declining
C09321,CT009321,2025-09-03,Poor Customer Experience,0.0734,14.47,Rapidly Declining
C12832,CT012832,2025-10-20,Product / Technical Issues,0.0051,71.49,Stable
C01951,CT001951,2025-10-28,Poor Customer Experience,0.0011,64.37,Stable
C07542,CT007542,2025-03-26,Business / Budget Constraints,0.0098,51.6,Declining
C19400,CT019400,2025-09-23,Business / Budget Constraints,0.0089,57.44,Declining
C00077,CT000077,2024-11-07,Low Product Engagement,0.0049,62.22,Stable
C06603,CT006603,2025-12-05,Low Product Engagement,0.0034,74.75,Stable
C08483,CT008483,2024-04-03,Contract / Renewal Decision,0.0018,88.61,Stable
C17328,CT017328,2025-12-06,Low Product Engagement,0.006,56.34,Stable
C09943,CT009943,2025-09-15,Product / Technical Issues,0.0048,37.99,Stable
C11429,CT011429,2025-10-31,Product / Technical Issues,0.0025,84.08,Stable
C12548,CT012548,2025-07-25,Low Product Engagement,0.0076,55.9,Stable
C12764,CT012764,2024-11-21,Business / Budget Constraints,0.0063,58.67,Declining
C04510,CT004510,2025-03-14,Low Product Engagement,0.0756,22.27,Rapidly Declining
C17807,CT017807,2025-08-11,Low Product Engagement,0.0256,23.45,Declining
C11074,CT011074,2025-08-05,Contract / Renewal Decision,0.0274,29.71,Rapidly Declining
C15838,CT015838,2025-09-02,Contract / Renewal Decision,0.0012,88.62,Stable
C13752,CT013752,2025-07-11,Low Product Engagement,0.0132,44.91,Declining
C11169,CT011169,2024-10-24,Poor Customer Experience,0.0005,98.01,Improving
C15343,CT015343,2024-08-14,Poor Customer Experience,0.0115,46.45,Declining
C18393,CT018393,2025-04-07,Contract / Renewal Decision,0.0066,61.04,Declining
C03925,CT003925,2025-12-21,Low Product Engagement,0.042,0.0,Rapidly Declining
C10621,CT010621,2025-05-29,Poor Customer Experience,0.0409,11.01,Declining
C08595,CT008595,2024-09-15,Lack of Required Features,0.0024,73.76,Stable
C06832,CT006832,2024-11-25,Poor Customer Experience,0.0247,29.74,Rapidly Declining
C04021,CT004021,2025-05-02,Low Product Engagement,0.0206,33.08,Declining
C08659,CT008659,2025-06-11,Low Product Engagement,0.0426,25.91,Rapidly Declining
C02501,CT002501,2025-03-20,Low Product Engagement,0.0264,25.79,Declining
C15624,CT015624,2025-08-06,Low Product Engagement,0.0241,33.85,Declining
C09276,CT009276,2025-06-15,Poor Customer Experience,0.0255,51.98,Declining
C11583,CT011583,2025-01-31,Poor Customer Experience,0.003,49.68,Stable
C05854,CT005854,2024-05-01,Contract / Renewal Decision,0.0114,46.85,Declining
C18971,CT018971,2025-12-04,Business / Budget Constraints,0.0011,93.11,Improving
C08894,CT008894,2025-08-07,Poor Customer Experience,0.0329,53.06,Declining
C17866,CT017866,2025-10-09,Low Product Engagement,0.0411,32.32,Rapidly Declining
C12508,CT012508,2025-12-06,Contract / Renewal Decision,0.0803,0.93,Rapidly Declining
C16049,CT016049,2025-03-12,Product / Technical Issues,0.0006,80.96,Stable
C14536,CT014536,2024-11-08,Poor Customer Experience,0.0196,24.87,Rapidly Declining
C10379,CT010379,2024-05-19,Lack of Required Features,0.0031,79.62,Stable
C13491,CT013491,2024-12-20,Poor Customer Experience,0.0226,53.87,Declining
C14844,CT014844,2025-07-03,Product / Technical Issues,0.0189,20.66,Rapidly Declining
C03260,CT003260,2025-08-31,Low Product Engagement,0.0062,71.98,Stable
C08360,CT008360,2025-05-01,Poor Customer Experience,0.0335,8.72,Rapidly Declining
C15993,CT015993,2024-10-19,Poor Customer Experience,0.0079,56.71,Declining
C07233,CT007233,2024-09-11,Business / Budget Constraints,0.0212,35.91,Declining
C10032,CT010032,2024-10-16,Product / Technical Issues,0.0242,19.55,Rapidly Declining
C06887,CT006887,2025-04-30,Poor Customer Experience,0.0535,26.63,Declining
C19167,CT019167,2024-12-20,Business / Budget Constraints,0.0096,71.06,Declining
C15144,CT015144,2025-08-24,Lack of Required Features,0.003,94.35,Stable
C03163,CT003163,2024-11-27,Low Product Engagement,0.0031,87.54,Stable
C13653,CT013653,2025-08-24,Contract / Renewal Decision,0.0211,43.53,Declining
C14110,CT014110,2024-12-15,Contract / Renewal Decision,0.0176,31.86,Rapidly Declining
C08676,CT008676,2024-10-16,Business / Budget Constraints,0.0105,56.06,Declining
C08034,CT008034,2024-11-07,Contract / Renewal Decision,0.0125,46.24,Declining
C06692,CT006692,2025-05-31,Low Product Engagement,0.0481,20.42,Declining
C17999,CT017999,2025-10-14,Product / Technical Issues,0.0007,70.89,Stable
C00017,CT000017,2025-10-16,Business / Budget Constraints,0.0143,49.37,Declining
C17524,CT017524,2025-08-30,Lack of Required Features,0.0105,49.84,Declining
C07492,CT007492,2025-07-06,Poor Customer Experience,0.0048,48.32,Declining
C05576,CT005576,2025-11-26,Low Product Engagement,0.012,33.85,Declining
C19119,CT019119,2025-08-07,Poor Customer Experience,0.0286,5.74,Rapidly Declining
C07244,CT007244,2024-12-13,Contract / Renewal Decision,0.0129,22.51,Declining
C11861,CT011861,2025-10-18,Low Product Engagement,0.0107,14.83,Declining
C01896,CT001896,2024-10-15,Low Product Engagement,0.0018,73.89,Stable
C17461,CT017461,2025-01-08,Product / Technical Issues,0.0266,12.61,Rapidly Declining
C13281,CT013281,2025-06-10,Poor Customer Experience,0.0445,8.51,Rapidly Declining
C06202,CT006202,2025-06-06,Product / Technical Issues,0.0271,30.97,Declining
C07171,CT007171,2025-07-27,Product / Technical Issues,0.0583,2.15,Rapidly Declining
C10615,CT010615,2025-12-13,Poor Customer Experience,0.0102,33.83,Declining
C00042,CT000042,2025-09-25,Lack of Required Features,0.0012,78.48,Stable
C08358,CT008358,2025-04-26,Contract / Renewal Decision,0.0022,83.76,Stable
C00520,CT000520,2025-05-19,Low Product Engagement,0.0135,59.07,Declining
C12103,CT012103,2025-12-09,Lack of Required Features,0.0343,0.0,Rapidly Declining
C16923,CT016923,2025-05-31,Business / Budget Constraints,0.0504,37.64,Rapidly Declining
C07512,CT007512,2024-09-23,Poor Customer Experience,0.0032,56.84,Stable
C13182,CT013182,2024-06-25,Product / Technical Issues,0.0067,32.55,Declining
C02030,CT002030,2024-07-24,Low Product Engagement,0.0353,32.89,Rapidly Declining
C09685,CT009685,2025-09-16,Poor Customer Experience,0.0228,8.08,Declining
C01647,CT001647,2025-05-26,Contract / Renewal Decision,0.0343,35.81,Declining
C00456,CT000456,2024-09-24,Poor Customer Experience,0.0142,40.39,Declining
C02817,CT002817,2025-04-02,Product / Technical Issues,0.0348,14.87,Rapidly Declining
C16576,CT016576,2025-10-26,Business / Budget Constraints,0.012,33.97,Declining
C02785,CT002785,2024-12-13,Low Product Engagement,0.015,40.29,Declining
C05471,CT005471,2025-02-07,Low Product Engagement,0.0136,25.16,Declining
C07992,CT007992,2025-11-18,Business / Budget Constraints,0.0015,83.15,Stable
C16175,CT016175,2024-12-08,Poor Customer Experience,0.0007,80.11,Stable
C18177,CT018177,2025-09-19,Product / Technical Issues,0.0031,82.78,Stable
C03705,CT003705,2025-06-25,Product / Technical Issues,0.0405,42.4,Declining
C00819,CT000819,2025-01-12,Business / Budget Constraints,0.0178,41.81,Declining
C14617,CT014617,2024-08-25,Lack of Required Features,0.0214,46.31,Declining
C15272,CT015272,2024-10-22,Poor Customer Experience,0.0019,74.55,Stable
C01712,CT001712,2025-05-20,Business / Budget Constraints,0.0049,34.6,Stable
C16613,CT016613,2025-11-01,Product / Technical Issues,0.0065,75.28,Stable
C04958,CT004958,2024-12-21,Poor Customer Experience,0.0031,55.39,Stable
C11268,CT011268,2025-02-15,Poor Customer Experience,0.0123,28.95,Declining
C12248,CT012248,2024-10-11,Low Product Engagement,0.005,63.91,Declining
C17197,CT017197,2024-08-09,Low Product Engagement,0.0005,100.0,Improving
C12366,CT012366,2024-04-18,Lack of Required Features,0.0029,68.79,Declining
C01541,CT001541,2024-04-30,Lack of Required Features,0.0079,65.64,Declining
C04596,CT004596,2025-04-15,Business / Budget Constraints,0.0181,24.01,Rapidly Declining
C16106,CT016106,2025-10-24,Product / Technical Issues,0.0218,25.2,Rapidly Declining
C06397,CT006397,2025-07-04,Contract / Renewal Decision,0.0034,78.17,Stable
C03644,CT003644,2024-04-18,Business / Budget Constraints,0.0024,59.9,Stable
C15787,CT015787,2026-01-05,Lack of Required Features,0.0047,40.61,Declining
C17663,CT017663,2024-11-21,Lack of Required Features,0.0051,72.88,Declining
C18630,CT018630,2025-06-28,Product / Technical Issues,0.0059,51.4,Declining
C09352,CT009352,2025-02-18,Business / Budget Constraints,0.0057,71.06,Declining
C13414,CT013414,2024-06-08,Contract / Renewal Decision,0.0045,62.45,Stable
C07578,CT007578,2025-08-10,Contract / Renewal Decision,0.0892,0.0,Rapidly Declining
C11356,CT011356,2025-12-27,Poor Customer Experience,0.0225,48.86,Declining
C16651,CT016651,2025-02-10,Poor Customer Experience,0.0245,36.61,Declining
C04163,CT004163,2025-05-03,Lack of Required Features,0.0131,59.79,Declining
C07503,CT007503,2025-05-26,Low Product Engagement,0.0218,41.94,Declining
C15554,CT015554,2025-05-24,Lack of Required Features,0.0269,23.48,Rapidly Declining
C18612,CT018612,2025-04-24,Business / Budget Constraints,0.0062,44.42,Declining
C14075,CT014075,2024-12-18,Low Product Engagement,0.0365,43.09,Declining
C05767,CT005767,2025-02-10,Product / Technical Issues,0.0555,20.53,Rapidly Declining
C12284,CT012284,2025-04-19,Product / Technical Issues,0.0137,82.4,Declining
C05185,CT005185,2025-10-19,Product / Technical Issues,0.0489,0.0,Rapidly Declining
C15475,CT015475,2025-09-26,Contract / Renewal Decision,0.0047,67.67,Stable
C10203,CT010203,2025-11-08,Product / Technical Issues,0.0131,51.98,Stable
C06882,CT006882,2025-03-29,Business / Budget Constraints,0.008,44.91,Declining
C02847,CT002847,2025-03-23,Lack of Required Features,0.0089,51.04,Declining
C01729,CT001729,2025-07-26,Business / Budget Constraints,0.0037,75.54,Stable
C13454,CT013454,2025-11-11,Low Product Engagement,0.0744,10.08,Rapidly Declining
C11230,CT011230,2024-08-05,Lack of Required Features,0.0027,52.12,Stable
C06445,CT006445,2024-05-01,Low Product Engagement,0.0014,82.74,Stable
C02843,CT002843,2025-05-22,Product / Technical Issues,0.0053,67.31,Stable
C03293,CT003293,2024-10-13,Low Product Engagement,0.0034,72.11,Stable
C18435,CT018435,2024-05-01,Product / Technical Issues,0.0109,29.67,Declining
C08145,CT008145,2024-11-06,Poor Customer Experience,0.009,44.9,Declining
C16502,CT016502,2025-11-29,Contract / Renewal Decision,0.0032,80.19,Stable
C12876,CT012876,2024-12-04,Product / Technical Issues,0.0084,42.91,Declining
C19944,CT019944,2025-04-08,Poor Customer Experience,0.0366,19.69,Rapidly Declining
C02097,CT002097,2025-05-11,Contract / Renewal Decision,0.0028,87.25,Stable
C00027,CT000027,2025-06-13,Lack of Required Features,0.0572,7.34,Rapidly Declining
C12937,CT012937,2025-02-25,Lack of Required Features,0.0051,75.16,Stable
C17279,CT017279,2024-06-28,Low Product Engagement,0.0122,55.26,Rapidly Declining
C00766,CT000766,2024-12-11,Product / Technical Issues,0.0404,11.47,Rapidly Declining
C08515,CT008515,2025-09-25,Contract / Renewal Decision,0.0196,51.22,Declining
C01132,CT001132,2025-04-02,Low Product Engagement,0.0317,43.4,Declining
C00716,CT000716,2024-10-24,Lack of Required Features,0.0028,49.59,Stable
C19727,CT019727,2025-02-28,Lack of Required Features,0.0249,35.11,Declining
C07174,CT007174,2025-11-15,Poor Customer Experience,0.0416,1.72,Rapidly Declining
C13811,CT013811,2025-01-02,Poor Customer Experience,0.0831,4.47,Rapidly Declining
C19052,CT019052,2024-04-20,Contract / Renewal Decision,0.014,61.97,Declining
C00422,CT000422,2025-11-17,Product / Technical Issues,0.0096,40.26,Declining
C18338,CT018338,2025-08-15,Business / Budget Constraints,0.0062,44.39,Declining
C00161,CT000161,2025-09-13,Contract / Renewal Decision,0.0272,24.6,Declining
C08355,CT008355,2025-09-21,Poor Customer Experience,0.0035,48.53,Stable
C18162,CT018162,2025-08-01,Poor Customer Experience,0.0759,0.0,Rapidly Declining
C04896,CT004896,2025-09-01,Low Product Engagement,0.018,50.69,Declining
C05142,CT005142,2024-09-01,Poor Customer Experience,0.0191,12.8,Declining
C14443,CT014443,2025-12-02,Business / Budget Constraints,0.0078,35.11,Stable
C15108,CT015108,2025-07-05,Poor Customer Experience,0.0105,50.35,Declining
C08307,CT008307,2024-11-29,Product / Technical Issues,0.0053,62.14,Stable
C13703,CT013703,2025-10-08,Low Product Engagement,0.0031,96.42,Stable
C17910,CT017910,2025-10-14,Lack of Required Features,0.0006,94.48,Stable
C06988,CT006988,2024-09-29,Poor Customer Experience,0.0017,84.93,Stable
C10630,CT010630,2025-07-23,Contract / Renewal Decision,0.0316,28.77,Rapidly Declining
C17936,CT017936,2025-11-05,Low Product Engagement,0.0187,28.31,Declining
C16423,CT016423,2025-05-26,Poor Customer Experience,0.0052,69.16,Declining
C03346,CT003346,2024-09-05,Product / Technical Issues,0.0133,36.43,Declining
C00019,CT000019,2024-10-22,Product / Technical Issues,0.0014,73.81,Stable
C04070,CT004070,2025-06-30,Lack of Required Features,0.0021,58.84,Stable
C08129,CT008129,2024-10-29,Business / Budget Constraints,0.0219,38.98,Declining
C17574,CT017574,2024-11-21,Product / Technical Issues,0.0062,62.77,Declining
C18552,CT018552,2024-12-16,Low Product Engagement,0.0017,97.58,Improving
C09764,CT009764,2025-11-19,Contract / Renewal Decision,0.0378,35.35,Declining
C13581,CT013581,2024-07-29,Lack of Required Features,0.0033,88.1,Stable
C08833,CT008833,2024-11-21,Business / Budget Constraints,0.0419,18.19,Rapidly Declining
C10793,CT010793,2025-11-02,Contract / Renewal Decision,0.0332,47.6,Declining
C06124,CT006124,2025-07-22,Contract / Renewal Decision,0.0008,99.58,Improving
C13482,CT013482,2024-05-11,Poor Customer Experience,0.0028,87.52,Stable
C13135,CT013135,2025-02-11,Business / Budget Constraints,0.0032,73.67,Stable
C06644,CT006644,2025-09-28,Low Product Engagement,0.0343,3.54,Rapidly Declining
C03150,CT003150,2024-05-27,Low Product Engagement,0.0671,38.59,Rapidly Declining
C13226,CT013226,2025-11-14,Poor Customer Experience,0.0206,45.33,Declining
C05023,CT005023,2024-12-12,Business / Budget Constraints,0.0012,68.41,Stable
C19207,CT019207,2024-08-31,Lack of Required Features,0.0283,55.94,Rapidly Declining
C10198,CT010198,2025-07-10,Low Product Engagement,0.0089,30.9,Declining
C14527,CT014527,2025-04-22,Low Product Engagement,0.0055,40.82,Declining
C01188,CT001188,2025-11-20,Lack of Required Features,0.0008,79.71,Stable
C17552,CT017552,2025-06-24,Low Product Engagement,0.0948,0.42,Rapidly Declining
C07089,CT007089,2025-08-09,Poor Customer Experience,0.0648,1.07,Rapidly Declining
C01995,CT001995,2024-12-19,Lack of Required Features,0.0019,100.0,Improving
C16337,CT016337,2024-11-19,Poor Customer Experience,0.12,25.92,Rapidly Declining
C12340,CT012340,2026-01-05,Poor Customer Experience,0.035,9.5,Rapidly Declining
C04257,CT004257,2025-09-30,Poor Customer Experience,0.0053,51.69,Stable
C15285,CT015285,2024-07-26,Lack of Required Features,0.0059,72.35,Declining
C11239,CT011239,2024-10-05,Contract / Renewal Decision,0.0014,64.34,Stable
C10912,CT010912,2025-02-22,Contract / Renewal Decision,0.0025,65.83,Stable
C04999,CT004999,2025-05-19,Contract / Renewal Decision,0.0035,77.99,Stable
C16025,CT016025,2026-01-05,Contract / Renewal Decision,0.0016,59.37,Stable
C07191,CT007191,2025-10-01,Contract / Renewal Decision,0.0466,19.57,Declining
C14376,CT014376,2025-12-18,Product / Technical Issues,0.0166,61.25,Declining
C13869,CT013869,2024-03-10,Contract / Renewal Decision,0.0065,62.01,Declining
C05280,CT005280,2024-09-21,Poor Customer Experience,0.0037,67.92,Declining
C09206,CT009206,2025-11-04,Low Product Engagement,0.0119,52.81,Declining
C18099,CT018099,2025-06-30,Low Product Engagement,0.0164,28.63,Declining
C09002,CT009002,2025-03-13,Low Product Engagement,0.0448,0.0,Rapidly Declining
C01575,CT001575,2025-01-08,Poor Customer Experience,0.0098,51.06,Declining
C03134,CT003134,2025-08-31,Poor Customer Experience,0.0141,34.44,Declining
C03921,CT003921,2024-05-06,Poor Customer Experience,0.0085,58.05,Declining
