ticket_id,customer_id,created_at,resolved_at,issue_category,priority,channel,resolution_hours,reopened,csat_score,escalated
TKT00091038,C15751,2025-07-25 12:22:00,2025-07-28 09:00:24.000000000,Technical Issue,Low,Phone,68.64,False,3,True
TKT00088263,C15267,2024-02-18 11:59:00,2024-02-19 21:27:47.999999999,Performance,Medium,Phone,33.48,True,4,False
TKT00110936,C19340,2025-06-05 17:58:00,2025-06-06 05:48:24.000000000,Technical Issue,High,Chat,11.84,False,5,False
TKT00049336,C08551,2025-05-01 14:46:00,2025-05-03 05:38:48.000000000,Billing,Low,Chat,38.88,False,4,False
TKT00037439,C06399,2024-08-02 09:23:00,2024-08-03 12:27:48.000000000,Technical Issue,High,Phone,27.08,False,4,False
TKT00060018,C10370,2025-12-22 14:28:00,2025-12-23 23:39:23.999999999,Integration,Medium,Chat,33.19,False,4,False
TKT00063609,C10990,2024-08-21 17:13:00,2024-08-22 16:43:36.000000000,Product Bug,High,Email,23.51,False,4,False
TKT00085408,C14759,2025-09-24 09:52:00,2025-09-29 04:32:48.000000000,Integration,Low,Chat,114.68,False,5,False
TKT00101352,C17591,2024-04-13 12:52:00,2024-04-15 02:04:36.000000000,Product Bug,Medium,Support Portal,37.21,False,2,False
TKT00079324,C13782,2025-07-26 17:25:00,2025-07-28 00:27:24.000000000,Product Bug,Medium,Chat,31.04,False,4,False
TKT00035564,C06021,2024-11-23 17:21:00,2024-11-24 06:29:24.000000000,Product Bug,High,Phone,13.14,False,4,False
TKT00045863,C07936,2025-07-16 08:54:00,2025-07-18 20:11:24.000000000,Training / Onboarding,Medium,Support Portal,59.29,False,3,False
TKT00079755,C13862,2025-05-03 09:46:00,2025-05-04 10:28:00.000000000,Feature Request,High,Email,24.7,False,4,False
TKT00059794,C10329,2024-09-04 09:38:00,2024-09-05 05:26:36.000000000,Product Bug,Medium,Chat,19.81,False,3,False
TKT00011839,C01979,2025-08-28 15:28:00,2025-09-01 13:14:48.000000000,Product Bug,Medium,Email,93.78,False,4,False
TKT00061057,C10581,2024-12-16 18:04:00,2024-12-17 13:22:00.000000000,Billing,Medium,Phone,19.3,False,5,False
TKT00088503,C15314,2025-08-09 08:48:00,2025-08-12 17:21:00.000000000,Performance,Medium,Email,80.55,True,3,False
TKT00064135,C11078,2024-09-18 09:20:00,2024-09-19 13:48:48.000000000,Technical Issue,Low,Email,28.48,False,4,False
TKT00003805,C00599,2025-03-20 16:23:00,2025-03-22 10:54:12.000000000,Integration,Medium,Chat,42.52,False,4,False
TKT00073075,C12596,2024-11-30 09:21:00,2024-11-30 22:45:36.000000000,Account Management,Medium,Email,13.41,False,5,False
TKT00096843,C16766,2025-04-15 12:38:00,2025-04-17 14:36:48.000000000,Integration,Medium,Email,49.98,False,4,False
TKT00082367,C14279,2025-04-02 14:38:00,2025-04-03 00:56:00.000000000,Training / Onboarding,Medium,Phone,10.3,False,4,True
TKT00100235,C17367,2025-10-30 13:35:00,2025-11-01 22:53:36.000000000,Billing,Low,Chat,57.31,False,4,False
TKT00021190,C03579,2025-09-19 16:13:00,2025-09-20 20:02:48.000000000,Product Bug,Medium,Support Portal,27.83,False,3,True
TKT00022080,C03716,2025-10-07 09:10:00,2025-10-08 10:45:24.000000000,Integration,High,Support Portal,25.59,False,5,False
TKT00037096,C06334,2024-09-29 10:25:00,2024-10-01 05:26:12.000000000,Technical Issue,Low,Support Portal,43.02,True,3,False
TKT00105149,C18262,2024-09-18 15:23:00,2024-09-19 03:07:24.000000000,Technical Issue,High,Phone,11.74,False,4,False
TKT00065295,C11268,2025-07-31 09:14:00,2025-07-31 23:20:36.000000000,Product Bug,Medium,Phone,14.11,False,4,False
TKT00056652,C09755,2025-04-14 10:24:00,2025-04-15 13:56:24.000000000,Product Bug,Medium,Email,27.54,False,3,False
TKT00079101,C13740,2025-07-31 16:34:00,2025-08-01 15:15:24.000000000,Technical Issue,Medium,Phone,22.69,False,5,False
TKT00101716,C17642,2025-04-28 16:32:00,2025-04-29 22:35:36.000000000,Technical Issue,Medium,Email,30.06,False,4,False
TKT00060747,C10510,2025-02-10 09:51:00,2025-02-12 00:04:48.000000000,Technical Issue,Medium,Chat,38.23,False,5,False
TKT00077239,C13353,2025-09-15 18:46:00,2025-09-15 22:18:24.000000000,Product Bug,Critical,Chat,3.54,True,4,False
TKT00000128,C00012,2025-02-20 14:55:00,2025-02-24 05:36:24.000000000,Technical Issue,Low,Chat,86.69,False,3,False
TKT00025770,C04357,2024-05-20 12:24:00,2024-05-22 07:39:00.000000000,Product Bug,Medium,Chat,43.25,False,3,False
TKT00047052,C08153,2025-02-21 12:45:00,2025-02-21 23:43:48.000000000,Technical Issue,High,Chat,10.98,False,4,False
TKT00007034,C01172,2024-02-27 08:49:00,2024-03-05 01:02:48.000000000,Performance,Low,Chat,160.23,False,4,False
TKT00012388,C02054,2024-10-20 10:20:00,2024-10-21 03:34:23.999999999,Technical Issue,High,Phone,17.24,False,4,False
TKT00040782,C06974,2025-08-30 17:46:00,2025-09-01 12:50:48.000000000,Product Bug,High,Email,43.08,False,4,False
TKT00034291,C05805,2025-12-25 09:43:00,2025-12-27 07:16:36.000000000,Billing,Low,Email,45.56,False,4,False
TKT00054884,C09479,2025-10-14 12:38:00,2025-10-15 10:39:48.000000000,Technical Issue,Low,Support Portal,22.03,False,4,False
TKT00037964,C06503,2024-11-29 09:24:00,2024-11-30 06:15:00.000000000,Training / Onboarding,Medium,Email,20.85,False,5,False
TKT00110108,C19204,2025-10-29 10:01:00,2025-10-30 01:22:00.000000000,Integration,High,Chat,15.35,False,4,False
TKT00059886,C10346,2024-12-13 18:03:00,2024-12-16 09:00:36.000000000,Feature Request,Medium,Chat,62.96,False,5,False
TKT00040016,C06849,2026-01-10 17:35:00,2026-01-12 11:14:00.000000000,Product Bug,Medium,Chat,41.65,False,3,False
TKT00045272,C07830,2025-02-25 11:49:00,2025-02-25 22:38:48.000000000,Technical Issue,High,Support Portal,10.83,False,4,False
TKT00090800,C15709,2024-09-22 11:17:00,2024-09-23 09:53:36.000000000,Technical Issue,Medium,Email,22.61,False,4,False
TKT00075768,C13090,2024-12-09 18:59:00,2024-12-10 06:47:00.000000000,Integration,High,Email,11.8,False,4,True
TKT00049260,C08539,2025-09-03 14:47:00,2025-09-06 12:17:00.000000000,Integration,Medium,Chat,69.5,False,4,False
TKT00019219,C03276,2025-08-18 09:16:00,2025-08-18 17:31:36.000000000,Technical Issue,High,Email,8.26,False,4,False
TKT00031119,C05297,2025-04-15 10:41:00,2025-04-15 19:57:48.000000000,Technical Issue,High,Phone,9.28,False,4,False
TKT00096022,C16615,2025-12-26 08:50:00,2025-12-28 10:53:36.000000000,Training / Onboarding,Low,Phone,50.06,False,4,False
TKT00065976,C11375,2024-10-04 11:25:00,2024-10-05 22:44:12.000000000,Product Bug,Medium,Phone,35.32,False,3,False
TKT00074696,C12880,2025-10-11 17:18:00,2025-10-12 17:30:36.000000000,Technical Issue,Medium,Email,24.21,False,5,False
TKT00109002,C18992,2025-02-27 09:11:00,2025-02-28 11:42:12.000000000,Account Management,Low,Email,26.52,False,5,False
TKT00111175,C19387,2025-10-01 09:00:00,2025-10-02 03:01:48.000000000,Performance,High,Phone,18.03,False,4,False
TKT00004051,C00630,2025-04-03 09:48:00,2025-04-04 21:34:12.000000000,Integration,Medium,Support Portal,35.77,False,4,False
TKT00083587,C14480,2025-10-03 18:00:00,2025-10-06 17:39:36.000000000,Performance,Low,Phone,71.66,False,4,False
TKT00041123,C07038,2025-04-26 11:46:00,2025-04-28 09:20:12.000000000,Performance,Medium,Email,45.57,False,3,False
TKT00087743,C15159,2025-05-20 08:51:00,2025-05-21 21:34:48.000000000,Technical Issue,Medium,Chat,36.73,False,5,False
TKT00027099,C04585,2025-12-12 08:47:00,2025-12-14 00:08:36.000000000,Billing,Medium,Email,39.36,False,5,False
TKT00079534,C13821,2025-10-04 13:03:00,2025-10-08 09:19:48.000000000,Training / Onboarding,Low,Chat,92.28,False,4,False
TKT00073477,C12667,2024-03-12 09:58:00,2024-03-13 06:29:48.000000000,Technical Issue,Medium,Email,20.53,False,4,False
TKT00057856,C10016,2025-10-15 09:11:00,2025-10-17 03:54:48.000000000,Technical Issue,Medium,Phone,42.73,False,4,False
TKT00008589,C01417,2024-09-28 08:28:00,2024-09-29 22:25:36.000000000,Billing,Low,Chat,37.96,False,4,False
TKT00041519,C07120,2025-11-18 10:58:00,2025-11-19 04:13:00.000000000,Account Management,High,Chat,17.25,True,4,False
TKT00016774,C02826,2025-06-06 09:40:00,2025-06-07 08:34:36.000000000,Technical Issue,Medium,Chat,22.91,False,4,False
TKT00039898,C06833,2024-08-17 10:48:00,2024-08-20 20:40:12.000000000,Product Bug,Low,Email,81.87,False,4,False
TKT00071000,C12222,2024-05-22 13:52:00,2024-05-24 04:43:00.000000000,Integration,Medium,Email,38.85,False,5,False
TKT00032170,C05480,2024-12-10 11:29:00,2024-12-11 05:20:36.000000000,Product Bug,High,Support Portal,17.86,False,5,False
TKT00042641,C07338,2025-08-15 10:39:00,2025-08-15 15:10:11.999999999,Technical Issue,Critical,Chat,4.52,False,4,True
TKT00082089,C14231,2025-07-10 18:47:00,2025-07-16 12:26:36.000000000,Integration,Low,Chat,137.66,False,4,False
TKT00088245,C15262,2025-11-08 11:29:00,2025-11-09 03:32:00.000000000,Account Management,Medium,Phone,16.05,False,5,False
TKT00066074,C11393,2025-08-12 09:04:00,2025-08-12 16:01:36.000000000,Training / Onboarding,High,Chat,6.96,False,3,False
TKT00082312,C14275,2025-07-30 17:07:00,2025-08-02 01:49:36.000000000,Product Bug,Low,Phone,56.71,False,4,False
TKT00108933,C18977,2025-09-12 10:52:00,2025-09-13 05:58:36.000000000,Billing,High,Phone,19.11,True,5,False
TKT00059327,C10260,2024-10-31 13:10:00,2024-10-31 15:11:47.999999999,Account Management,Critical,Support Portal,2.03,False,4,False
TKT00009710,C01606,2025-09-27 15:32:00,2025-09-28 15:26:00.000000000,Account Management,Medium,Email,23.9,False,4,False
TKT00082222,C14260,2024-08-13 08:32:00,2024-08-14 22:03:12.000000000,Performance,Medium,Support Portal,37.52,False,4,False
TKT00022963,C03865,2025-11-27 15:30:00,2025-11-29 03:06:36.000000000,Account Management,Low,Support Portal,35.61,False,4,False
TKT00022567,C03786,2025-10-09 17:15:00,2025-10-11 11:24:36.000000000,Technical Issue,Medium,Email,42.16,False,4,False
TKT00048942,C08489,2024-06-10 09:36:00,2024-06-11 10:03:36.000000000,Performance,Medium,Support Portal,24.46,False,4,False
TKT00073373,C12642,2025-01-10 16:44:00,2025-01-11 18:01:24.000000000,Product Bug,High,Email,25.29,False,4,False
TKT00006368,C01044,2025-01-27 13:06:00,2025-02-15 23:43:48.000000000,Feature Request,Low,Email,466.63,False,4,False
TKT00060055,C10382,2025-07-07 11:38:00,2025-07-10 04:41:36.000000000,Performance,Low,Chat,65.06,False,5,False
TKT00020748,C03502,2024-11-16 15:00:00,2024-11-17 10:22:12.000000000,Training / Onboarding,High,Support Portal,19.37,False,4,False
TKT00112888,C19700,2025-07-05 13:24:00,2025-07-06 13:39:36.000000000,Training / Onboarding,Medium,Chat,24.26,False,5,False
TKT00050400,C08727,2025-12-16 09:22:00,2025-12-16 21:26:48.000000000,Technical Issue,High,Email,12.08,False,2,True
TKT00095803,C16582,2025-07-08 10:51:00,2025-07-09 10:18:00.000000000,Product Bug,High,Chat,23.45,False,4,True
TKT00065363,C11275,2026-01-05 17:30:00,2026-01-09 08:37:48.000000000,Performance,Low,Email,87.13,False,4,False
TKT00102262,C17745,2025-10-07 10:55:00,2025-10-07 19:23:12.000000000,Technical Issue,High,Chat,8.47,False,3,False
TKT00085423,C14770,2025-08-12 16:30:00,2025-08-15 07:26:24.000000000,Product Bug,Low,Support Portal,62.94,False,3,False
TKT00087483,C15114,2025-06-20 08:49:00,2025-06-21 19:37:36.000000000,Integration,Medium,Chat,34.81,False,4,False
TKT00076847,C13283,2025-07-06 18:54:00,2025-07-09 00:24:36.000000000,Performance,Medium,Email,53.51,False,4,False
TKT00104911,C18216,2024-08-27 13:01:00,2024-08-28 02:02:12.000000000,Account Management,High,Support Portal,13.02,False,4,False
TKT00098914,C17147,2025-03-01 13:35:00,2025-03-06 00:49:24.000000000,Product Bug,Low,Phone,107.24,False,3,False
TKT00058442,C10101,2025-01-30 09:05:00,2025-01-31 19:31:23.999999999,Product Bug,High,Email,34.44,False,3,True
TKT00109605,C19124,2025-08-07 10:37:00,2025-08-09 01:10:36.000000000,Training / Onboarding,Medium,Support Portal,38.56,False,4,False
TKT00036616,C06237,2025-08-03 12:48:00,2025-08-04 10:49:12.000000000,Performance,Medium,Chat,22.02,False,5,False
TKT00033334,C05664,2024-10-06 13:56:00,2024-10-07 16:57:48.000000000,Technical Issue,Medium,Support Portal,27.03,False,5,False
TKT00038422,C06570,2025-07-16 11:02:00,2025-07-16 18:44:00.000000000,Account Management,High,Email,7.7,False,5,False
TKT00092963,C16118,2024-04-13 17:04:00,2024-04-14 22:35:48.000000000,Integration,Medium,Phone,29.53,True,3,False
TKT00029728,C05056,2025-03-23 15:43:00,2025-03-24 15:21:24.000000000,Performance,High,Chat,23.64,False,3,False
TKT00064846,C11195,2025-07-07 17:11:00,2025-07-07 23:30:12.000000000,Product Bug,High,Email,6.32,False,4,False
TKT00053729,C09258,2025-10-18 15:11:00,2025-10-20 03:00:48.000000000,Account Management,High,Email,35.83,False,5,False
TKT00034441,C05831,2024-12-21 10:28:00,2024-12-22 15:01:36.000000000,Product Bug,Medium,Email,28.56,False,4,False
TKT00028451,C04831,2025-05-14 14:54:00,2025-05-15 10:32:24.000000000,Technical Issue,High,Email,19.64,False,3,False
TKT00081275,C14117,2025-06-18 09:37:00,2025-06-18 22:38:12.000000000,Billing,High,Phone,13.02,False,4,True
TKT00039086,C06690,2025-10-14 17:27:00,2025-10-15 06:11:24.000000000,Billing,High,Phone,12.74,False,5,False
TKT00092763,C16076,2025-04-14 13:56:00,2025-04-17 04:51:12.000000000,Integration,Low,Email,62.92,False,4,False
TKT00042498,C07317,2025-03-28 09:31:00,2025-03-29 11:11:48.000000000,Product Bug,Medium,Chat,25.68,False,4,False
TKT00066454,C11463,2024-08-26 16:55:00,2024-08-27 03:12:24.000000000,Billing,Medium,Phone,10.29,False,4,False
TKT00060155,C10401,2025-02-23 18:58:00,2025-02-24 03:44:12.000000000,Training / Onboarding,High,Phone,8.77,False,4,True
TKT00107524,C18710,2025-09-13 10:33:00,2025-09-14 16:03:36.000000000,Account Management,Medium,Phone,29.51,False,5,False
TKT00003510,C00546,2024-09-24 15:20:00,2024-09-29 01:11:00.000000000,Integration,Low,Chat,105.85,False,3,False
TKT00089887,C15549,2025-06-25 10:53:00,2025-06-25 23:36:48.000000000,Technical Issue,Medium,Chat,12.73,False,4,False
TKT00024211,C04083,2025-10-13 18:09:00,2025-10-14 05:12:36.000000000,Training / Onboarding,High,Support Portal,11.06,False,3,True
TKT00040247,C06890,2025-09-04 14:21:00,2025-09-05 21:15:36.000000000,Product Bug,Medium,Chat,30.91,False,5,False
TKT00079957,C13894,2024-05-06 16:22:00,2024-05-08 01:26:12.000000000,Account Management,Low,Support Portal,33.07,False,4,False
TKT00090563,C15670,2026-01-07 09:53:00,2026-01-08 13:18:48.000000000,Technical Issue,Medium,Email,27.43,False,4,False
TKT00097386,C16849,2025-11-26 10:11:00,2025-11-28 03:35:00.000000000,Account Management,Medium,Email,41.4,False,4,False
TKT00076523,C13232,2024-09-10 15:32:00,2024-09-13 19:59:00.000000000,Feature Request,Medium,Chat,76.45,False,3,False
TKT00097529,C16878,2026-01-01 08:35:00,2026-01-02 13:08:36.000000000,Technical Issue,Medium,Chat,28.56,False,4,False
TKT00047422,C08217,2024-06-23 10:01:00,2024-06-24 15:49:36.000000000,Integration,Medium,Support Portal,29.81,False,5,False
TKT00052549,C09080,2025-09-04 10:33:00,2025-09-05 11:34:12.000000000,Account Management,Medium,Support Portal,25.02,False,5,False
TKT00021288,C03595,2025-01-18 16:27:00,2025-01-19 15:09:36.000000000,Product Bug,High,Support Portal,22.71,True,5,False
TKT00034508,C05837,2025-12-19 18:42:00,2025-12-20 02:10:12.000000000,Performance,Critical,Chat,7.47,False,5,False
TKT00048159,C08347,2025-03-11 14:10:00,2025-03-13 12:19:36.000000000,Product Bug,High,Email,46.16,True,4,False
TKT00015880,C02687,2024-03-22 14:32:00,2024-03-23 23:29:36.000000000,Account Management,Medium,Support Portal,32.96,False,4,False
TKT00023723,C03994,2025-01-26 18:20:00,2025-01-30 09:56:00.000000000,Integration,Medium,Email,87.6,False,4,False
TKT00105625,C18359,2025-05-30 15:49:00,2025-06-01 15:52:36.000000000,Performance,Low,Phone,48.06,False,5,False
TKT00040251,C06891,2025-01-31 09:45:00,2025-02-01 00:23:24.000000000,Account Management,High,Chat,14.64,False,4,False
TKT00043037,C07430,2024-11-04 14:39:00,2024-11-05 10:51:36.000000000,Technical Issue,High,Chat,20.21,False,5,False
TKT00023524,C03955,2025-04-16 12:56:00,2025-04-17 19:24:12.000000000,Product Bug,Medium,Support Portal,30.47,False,4,False
TKT00055118,C09505,2025-09-17 18:02:00,2025-09-20 03:54:12.000000000,Technical Issue,Low,Support Portal,57.87,False,4,False
TKT00113644,C19827,2025-11-27 12:43:00,2025-11-28 09:50:12.000000000,Technical Issue,Medium,Chat,21.12,False,4,False
TKT00014274,C02387,2025-08-16 14:16:00,2025-08-17 13:20:48.000000000,Performance,Medium,Chat,23.08,False,4,False
TKT00089550,C15487,2025-02-25 14:26:00,2025-02-26 16:13:24.000000000,Integration,Medium,Chat,25.79,False,5,False
TKT00057605,C09953,2025-04-13 10:19:00,2025-04-14 01:54:24.000000000,Product Bug,Medium,Support Portal,15.59,False,4,False
TKT00041701,C07163,2024-01-22 12:33:00,2024-01-25 09:35:24.000000000,Technical Issue,Medium,Chat,69.04,False,4,False
TKT00046713,C08076,2025-05-01 08:55:00,2025-05-01 15:21:24.000000000,Performance,Critical,Support Portal,6.44,False,4,True
TKT00054534,C09398,2025-09-27 15:57:00,2025-09-28 17:11:24.000000000,Product Bug,Medium,Phone,25.24,False,4,True
TKT00100618,C17453,2025-12-27 08:26:00,2025-12-29 00:23:00.000000000,Performance,Medium,Email,39.95,False,4,False
TKT00013397,C02225,2025-07-08 18:55:00,2025-07-09 02:10:00.000000000,Technical Issue,High,Email,7.25,False,4,False
TKT00016959,C02859,2025-05-17 08:15:00,2025-05-20 00:34:11.999999999,Performance,Low,Email,64.32,False,5,False
TKT00049082,C08510,2025-02-28 14:12:00,2025-02-28 22:29:23.999999999,Technical Issue,High,Chat,8.29,False,3,False
TKT00113209,C19755,2025-07-01 16:37:00,2025-07-02 13:56:12.000000000,Training / Onboarding,Medium,Chat,21.32,False,4,False
TKT00021352,C03599,2025-12-02 09:02:00,2025-12-03 03:10:59.999999999,Technical Issue,Medium,Chat,18.15,True,4,False
TKT00061668,C10685,2025-03-02 15:13:00,2025-03-03 12:28:36.000000000,Technical Issue,Medium,Phone,21.26,False,3,False
TKT00096135,C16638,2025-08-21 18:57:00,2025-08-22 04:09:36.000000000,Product Bug,High,Email,9.21,False,4,False
TKT00001842,C00320,2024-11-23 13:56:00,2024-11-24 10:32:36.000000000,Account Management,Medium,Support Portal,20.61,True,3,False
TKT00029407,C05004,2025-05-02 16:12:00,2025-05-04 03:25:47.999999999,Integration,Medium,Chat,35.23,False,5,False
TKT00067953,C11720,2026-01-05 17:17:00,2026-01-06 17:24:48.000000000,Technical Issue,Medium,Phone,24.13,False,2,True
TKT00093352,C16180,2025-08-26 11:51:00,2025-08-26 18:55:48.000000000,Billing,High,Support Portal,7.08,False,4,False
TKT00054874,C09473,2025-10-24 16:38:00,2025-10-25 13:30:12.000000000,Billing,Medium,Email,20.87,False,4,False
TKT00078334,C13565,2025-03-29 08:06:00,2025-04-03 05:07:48.000000000,Integration,Low,Chat,117.03,False,4,False
TKT00074841,C12906,2025-10-16 15:33:00,2025-10-17 16:24:36.000000000,Integration,High,Chat,24.86,False,3,True
TKT00020859,C03521,2025-01-03 11:07:00,2025-01-05 06:14:12.000000000,Billing,Low,Support Portal,43.12,False,4,False
TKT00046051,C07968,2025-12-02 11:01:00,2025-12-02 20:37:00.000000000,Billing,Medium,Email,9.6,False,5,True
TKT00017352,C02952,2024-07-26 12:16:00,2024-07-27 13:07:00.000000000,Technical Issue,Medium,Chat,24.85,False,4,False
TKT00100054,C17327,2025-02-27 12:39:00,2025-02-28 18:36:36.000000000,Training / Onboarding,Low,Chat,29.96,False,3,True
TKT00084025,C14536,2024-10-09 09:34:00,2024-10-12 04:13:36.000000000,Technical Issue,Medium,Chat,66.66,False,2,False
TKT00076414,C13204,2025-08-06 17:49:00,2025-08-10 14:58:36.000000000,Technical Issue,Low,Chat,93.16,False,4,False
TKT00021570,C03629,2024-12-26 12:49:00,2024-12-27 12:33:24.000000000,Product Bug,Medium,Support Portal,23.74,False,4,False
TKT00091351,C15816,2025-05-08 10:01:00,2025-05-09 04:23:48.000000000,Technical Issue,Medium,Email,18.38,False,5,False
TKT00051879,C08979,2025-11-27 16:28:00,2025-11-28 15:32:48.000000000,Technical Issue,Medium,Email,23.08,False,3,False
TKT00003735,C00591,2025-12-06 15:41:00,2025-12-07 13:13:24.000000000,Performance,Medium,Chat,21.54,False,4,False
TKT00003496,C00543,2024-04-24 14:54:00,2024-04-25 07:52:11.999999999,Billing,High,Chat,16.97,False,5,True
TKT00061943,C10729,2024-05-04 11:14:00,2024-05-07 07:22:24.000000000,Integration,Medium,Phone,68.14,False,5,False
TKT00037609,C06434,2025-10-25 09:13:00,2025-10-26 01:46:35.999999999,Product Bug,High,Chat,16.56,False,5,False
TKT00004218,C00674,2024-10-22 16:19:00,2024-10-22 18:45:24.000000000,Account Management,Critical,Phone,2.44,False,4,True
TKT00046735,C08078,2025-12-10 15:04:00,2025-12-13 18:55:36.000000000,Technical Issue,Low,Chat,75.86,False,3,False
TKT00046891,C08123,2025-12-31 11:08:00,2025-12-31 14:51:48.000000000,Product Bug,Critical,Phone,3.73,True,3,False
TKT00059582,C10301,2024-01-22 10:23:00,2024-01-23 09:35:36.000000000,Account Management,Medium,Support Portal,23.21,False,5,False
TKT00103859,C17998,2024-11-19 11:09:00,2024-11-20 18:55:12.000000000,Product Bug,Medium,Chat,31.77,False,5,False
TKT00101773,C17657,2024-11-08 14:54:00,2024-11-11 01:45:36.000000000,Integration,Medium,Phone,58.86,False,4,False
TKT00059704,C10314,2025-07-21 12:48:00,2025-07-22 18:59:24.000000000,Technical Issue,Medium,Support Portal,30.19,False,4,False
TKT00098560,C17095,2025-02-26 13:33:00,2025-03-02 00:45:00.000000000,Technical Issue,Low,Phone,83.2,False,3,False
TKT00049473,C08570,2025-12-11 11:09:00,2025-12-12 07:34:48.000000000,Account Management,Medium,Support Portal,20.43,False,4,False
TKT00042568,C07329,2025-02-03 17:08:00,2025-02-05 03:47:00.000000000,Performance,Medium,Email,34.65,False,4,False
TKT00109424,C19080,2025-03-21 16:30:00,2025-03-22 23:45:36.000000000,Product Bug,Medium,Chat,31.26,False,5,False
TKT00049130,C08519,2025-09-02 09:07:00,2025-09-02 12:10:36.000000000,Technical Issue,Critical,Phone,3.06,False,4,False
TKT00018338,C03099,2025-07-06 09:53:00,2025-07-06 18:45:48.000000000,Technical Issue,High,Chat,8.88,False,5,False
TKT00061125,C10595,2025-09-07 18:45:00,2025-09-08 11:13:11.999999999,Performance,High,Phone,16.47,False,4,False
TKT00065169,C11254,2025-08-26 16:15:00,2025-08-29 22:25:12.000000000,Integration,Low,Email,78.17,False,4,False
TKT00010103,C01672,2026-01-08 10:55:00,2026-01-08 21:25:00.000000000,Integration,High,Support Portal,10.5,False,5,False
