customer_id,snapshot_date,churn_90d,industry,region,segment,company_size,acquisition_channel,tenure_days,tenure_years,health_score,baseline_health,health_trend,volatility,behaviour,health_score_change_4w,health_score_change_8w,health_score_change_12w,health_score_pct_change_4w,health_score_pct_change_8w,health_score_pct_change_12w,active_users,sessions,active_days,usage_minutes,features_used,p001_sessions,p002_sessions,p003_sessions,p004_sessions,p005_sessions,active_users_change_4w,active_users_change_8w,active_users_change_12w,sessions_change_4w,sessions_change_8w,sessions_change_12w,usage_minutes_change_4w,usage_minutes_change_8w,usage_minutes_change_12w,active_days_change_4w,active_days_change_8w,active_days_change_12w,features_used_change_4w,features_used_change_8w,features_used_change_12w,active_users_pct_change_4w,active_users_pct_change_8w,active_users_pct_change_12w,sessions_pct_change_4w,sessions_pct_change_8w,sessions_pct_change_12w,usage_minutes_pct_change_4w,usage_minutes_pct_change_8w,usage_minutes_pct_change_12w,active_days_pct_change_4w,active_days_pct_change_8w,active_days_pct_change_12w,features_used_pct_change_4w,features_used_pct_change_8w,features_used_pct_change_12w,usage_decline_4w_flag,usage_decline_12w_flag,severe_usage_decline_12w_flag,product_count,tickets_4w,escalations_4w,reopens_4w,critical_tickets_4w,high_priority_tickets_4w,avg_csat_4w,avg_resolution_hours_4w,tickets_8w,escalations_8w,reopens_8w,critical_tickets_8w,high_priority_tickets_8w,avg_csat_8w,avg_resolution_hours_8w,tickets_12w,escalations_12w,reopens_12w,critical_tickets_12w,high_priority_tickets_12w,avg_csat_12w,avg_resolution_hours_12w,high_support_burden_12w,high_escalation_12w,low_csat_12w,slow_resolution_12w,contract_id,contract_active,annual_contract_value,total_contract_value,contract_type,auto_renew,contract_age_days,days_to_renewal,renewal_within_30d,renewal_within_90d,renewal_within_180d
C02781,2025-04-28,0,Financial Services,Middle East,SMB,38,Referral,80,0.2190280629705681,64.9,90.05,-0.2135,0.4312,Declining,-1.1199999999999903,-2.5999999999999943,-3.5,-0.01696455619509225,-0.03851851851851843,-0.05116959064327485,5,19,7,311,1,19,0,0,0,0,0.0,0.0,5.0,8.0,1.0,19.0,109.0,13.0,311.0,4.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,,0.7272727272727273,0.05555555555555555,,0.5396039603960396,0.0436241610738255,,1.3333333333333333,0.4,,0.0,0.0,,0,0,0,1,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,CT002781,1,977607.53,977607.53,Annual,True,80.0,285.0,0,0,0
C03349,2025-06-16,0,Manufacturing,APAC,Mid-Market,1780,Inbound,362,0.9911019849418207,58.3,80.39,-0.1586,1.1449,Declining,-1.5700000000000003,2.3699999999999974,-1.4100000000000037,-0.026223484215800907,0.04237439656713745,-0.02361413498576459,266,2258,7,42284,5,844,412,399,348,255,24.0,11.0,0.0,275.0,145.0,-23.0,352.0,-276.0,-2954.0,2.0,0.0,0.0,0.0,0.0,0.0,0.09917355371900827,0.043137254901960784,0.0,0.13867876954109934,0.06862281116895409,-0.010083296799649276,0.008394543546694649,-0.006484962406015038,-0.06529908484017861,0.4,0.0,0.0,0.0,0.0,0.0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,,,2.0,1.0,0.0,1.0,0.0,4.0,27.720000000000006,3.0,1.0,0.0,1.0,0.0,3.3333333333333335,41.553333333333335,0,0,0,0,CT003349,1,1274793.74,1274793.74,Annual,True,362.0,3.0,1,1,1
C17991,2025-05-12,0,Professional Services,APAC,SMB,157,Inbound,194,0.5311430527036276,98.36,85.13,0.3438,0.8056,Improving,0.75,0.7000000000000028,-1.6400000000000006,0.007683638971416863,0.007167724759369269,-0.016400000000000005,29,105,6,2001,1,105,0,0,0,0,-1.0,0.0,1.0,5.0,-4.0,-14.0,532.0,-301.0,22.0,2.0,1.0,0.0,0.0,0.0,0.0,-0.03333333333333333,0.0,0.03571428571428571,0.05,-0.03669724770642202,-0.11764705882352941,0.36215112321307014,-0.13075586446568202,0.011116725618999495,0.5,0.2,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,CT017991,1,705931.31,705931.31,Annual,True,194.0,171.0,0,0,1
C15799,2025-05-12,0,Professional Services,APAC,SMB,214,Enterprise Sales,288,0.7885010266940452,99.49,80.24,0.2063,0.5843,Improving,0.12999999999999545,-0.5100000000000051,1.0899999999999892,0.0013083735909822408,-0.0051000000000000515,0.011077235772357613,32,126,5,2510,1,126,0,0,0,0,-2.0,0.0,-1.0,-1.0,25.0,-8.0,645.0,764.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.058823529411764705,0.0,-0.030303030303030304,-0.007874015748031496,0.24752475247524752,-0.05970149253731343,0.34584450402144773,0.43757159221076747,0.1125886524822695,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,4.0,70.43,1.0,0.0,0.0,0.0,0.0,4.0,70.43,1.0,0.0,0.0,0.0,0.0,4.0,70.43,0,0,0,1,CT015799,1,390569.84,390569.84,Annual,False,288.0,77.0,0,1,1
C10384,2025-05-26,0,Financial Services,Europe,Mid-Market,1117,Enterprise Sales,129,0.3531827515400411,91.28,93.98,0.0178,0.6029,Stable,0.12999999999999545,0.710000000000008,-1.6099999999999994,0.001426220515633521,0.007839240366567385,-0.017332328560663145,247,1791,7,29563,3,951,0,495,345,0,-15.0,-6.0,-20.0,-34.0,106.0,-133.0,-85.0,-3476.0,-166.0,0.0,2.0,2.0,0.0,0.0,0.0,-0.05725190839694656,-0.023715415019762844,-0.0749063670411985,-0.01863013698630137,0.0629080118694362,-0.06912681912681913,-0.0028669724770642203,-0.10520899542964375,-0.005583773419893034,0.0,0.4,0.4,0.0,0.0,0.0,0,0,0,3,2.0,0.0,0.0,0.0,1.0,3.5,62.925,2.0,0.0,0.0,0.0,1.0,3.5,62.925,2.0,0.0,0.0,0.0,1.0,3.5,62.925,0,0,0,1,CT010384,1,1000000.0,1000000.0,Annual,False,129.0,236.0,0,0,0
C09176,2025-08-18,0,Professional Services,Europe,Enterprise,5853,Enterprise Sales,461,1.2621492128678986,67.19,77.34,-0.0167,0.7955,Stable,-1.230000000000004,-1.0700000000000074,-0.6200000000000045,-0.01797719964922543,-0.01567535892176981,-0.009143194219141787,986,7103,7,139561,4,3270,1671,0,1215,947,-54.0,-3.0,10.0,-309.0,153.0,242.0,3718.0,6151.0,11328.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.051923076923076926,-0.003033367037411527,0.010245901639344262,-0.041689152725310305,0.022014388489208635,0.035271826264392944,0.02736983134942544,0.04610598905629263,0.08833919505899418,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0,0,0,4,2.0,0.0,0.0,0.0,1.0,4.0,30.044999999999995,2.0,0.0,0.0,0.0,1.0,4.0,30.045,7.0,1.0,0.0,0.0,3.0,4.0,32.900625000000005,1,0,0,0,CT009176,1,12370952.24,37112856.72,Three-year,True,461.0,634.0,0,0,0
C10187,2025-08-18,0,Education,Europe,Mid-Market,1471,Direct Sales,133,0.36413415468856947,64.65,83.86,-0.0362,1.0567,Stable,-2.059999999999988,-4.509999999999991,-4.439999999999998,-0.030879928046769423,-0.06521110468478877,-0.06426400347372987,288,1776,7,31909,3,943,0,497,336,0,-21.0,-43.0,-41.0,-167.0,-221.0,-442.0,-5073.0,-3419.0,-7866.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06796116504854369,-0.1299093655589124,-0.12462006079027356,-0.08594956253216675,-0.11066599899849774,-0.1992786293958521,-0.137174841814937,-0.09677875905797101,-0.19776241357636706,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,4.0,11.1,0,0,0,0,CT010187,1,8633092.26,8633092.26,Annual,True,133.0,232.0,0,0,0
C06542,2024-03-18,1,Logistics,APAC,SMB,58,Direct Sales,54,0.14784394250513347,50.36,81.5,-0.4595,0.9318,Rapidly Declining,-0.8599999999999994,-2.049999999999997,-5.530000000000001,-0.01679031628270206,-0.039114672772371635,-0.09894435498300234,5,33,7,483,2,27,0,0,6,0,0.0,5.0,5.0,3.0,33.0,33.0,-40.0,483.0,483.0,1.0,7.0,7.0,0.0,2.0,2.0,0.0,,,0.1,,,-0.07648183556405354,,,0.16666666666666666,,,0.0,,,0,0,0,2,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,4.0,136.6,1.0,0.0,0.0,0.0,0.0,4.0,136.6,0,0,0,1,CT006542,1,517065.66,517065.66,Annual,True,54.0,311.0,0,0,0
C13870,2025-07-14,0,Telecommunications,APAC,Enterprise,2001,Enterprise Sales,277,0.758384668035592,66.11,71.16,-0.0082,0.9624,Stable,2.5899999999999963,4.880000000000003,3.3100000000000023,0.0407745591939546,0.07969949371223262,0.05270700636942679,287,2481,7,50858,5,988,418,509,319,247,13.0,27.0,9.0,94.0,249.0,120.0,6767.0,9755.0,4988.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04744525547445255,0.10384615384615385,0.03237410071942446,0.03937997486384583,0.11155913978494623,0.05082592121982211,0.15347803406590915,0.2373306084714011,0.10874209723130586,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,3.0,0.0,0.0,0.0,1.0,4.0,49.653333333333336,0,0,0,1,CT013870,1,8203684.93,16407369.86,Two-year,True,277.0,453.0,0,0,0
C11255,2025-09-01,0,Financial Services,North America,SMB,237,Direct Sales,303,0.8295687885010267,39.3,78.3,0.0212,0.994,Stable,-1.5800000000000054,-3.3700000000000045,-6.790000000000006,-0.038649706457925766,-0.07897820482774794,-0.14732045996962478,19,116,6,2497,3,51,32,33,0,0,-3.0,-4.0,-4.0,-25.0,-31.0,-21.0,128.0,-253.0,-130.0,1.0,0.0,-1.0,0.0,0.0,0.0,-0.13636363636363635,-0.17391304347826086,-0.17391304347826086,-0.1773049645390071,-0.2108843537414966,-0.15328467153284672,0.054031236808780074,-0.092,-0.04948610582413399,0.2,0.0,-0.14285714285714285,0.0,0.0,0.0,0,0,0,3,2.0,0.0,0.0,0.0,0.0,2.5,55.455,4.0,0.0,1.0,0.0,1.0,3.0,33.25749999999999,6.0,0.0,1.0,0.0,2.0,3.1666666666666665,27.188333333333333,0,0,0,0,CT011255,1,700530.93,700530.93,Annual,True,303.0,62.0,0,1,1
C00503,2025-04-28,0,Manufacturing,Europe,Enterprise,3148,Inbound,448,1.2265571526351813,73.72,67.81,-0.0256,1.059,Stable,-0.2600000000000051,-3.1899999999999977,-4.200000000000003,-0.003514463368478036,-0.04147705109868675,-0.05390143737166328,619,2955,5,59841,2,2140,0,0,815,0,-46.0,-55.0,-67.0,-93.0,-179.0,-219.0,9879.0,8701.0,5678.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-0.06917293233082707,-0.08160237388724036,-0.09766763848396501,-0.03051181102362205,-0.05711550733886407,-0.06899810964083176,0.19773027500900683,0.1701407899882675,0.10483171168509868,0.0,-0.16666666666666666,-0.16666666666666666,0.0,0.0,0.0,0,0,0,2,2.0,1.0,0.0,0.0,2.0,4.0,15.375,3.0,1.0,0.0,0.0,2.0,4.5,33.742499999999986,3.0,1.0,0.0,0.0,2.0,4.5,33.742499999999986,0,0,0,0,CT000503,1,31308893.92,62617787.84,Two-year,False,448.0,282.0,0,0,0
C07718,2025-05-19,1,Telecommunications,Europe,Mid-Market,459,Direct Sales,117,0.3203285420944558,36.3,86.21,-0.3523,0.5759,Declining,-2.520000000000003,-5.850000000000001,-7.550000000000004,-0.06491499227202481,-0.13879003558718864,-0.17217787913340943,30,134,6,2411,2,85,0,49,0,0,-4.0,-6.0,-8.0,10.0,-8.0,-22.0,-63.0,269.0,-536.0,2.0,0.0,-1.0,0.0,0.0,0.0,-0.11764705882352941,-0.16666666666666666,-0.21052631578947367,0.08064516129032258,-0.056338028169014086,-0.14102564102564102,-0.025464834276475345,0.12558356676003735,-0.1818798778418731,0.5,0.0,-0.14285714285714285,0.0,0.0,0.0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,4.0,40.88,4.0,0.0,0.0,0.0,1.0,3.5,27.8975,0,0,0,0,CT007718,1,4324995.41,4324995.41,Annual,True,117.0,248.0,0,0,0
C03397,2024-08-05,0,Manufacturing,Europe,SMB,73,Partner,176,0.48186173853524983,79.71,65.96,0.0019,0.7225,Stable,3.4299999999999926,4.22999999999999,3.1499999999999915,0.04496591504981637,0.05604133545310002,0.041144200626959136,8,39,6,732,2,31,0,0,8,0,0.0,0.0,0.0,4.0,7.0,5.0,88.0,207.0,209.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11428571428571428,0.21875,0.14705882352941177,0.13664596273291926,0.3942857142857143,0.39961759082217974,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,2,1.0,0.0,0.0,0.0,0.0,4.0,25.63,1.0,0.0,0.0,0.0,0.0,4.0,25.63,1.0,0.0,0.0,0.0,0.0,4.0,25.63,0,0,0,0,CT003397,1,287260.29,287260.29,Annual,True,176.0,189.0,0,0,0
C08189,2025-09-01,0,Education,North America,Mid-Market,1524,Direct Sales,210,0.5749486652977412,55.88,81.61,-0.1788,0.6468,Declining,0.8800000000000026,-2.0799999999999983,-2.1999999999999957,0.016000000000000045,-0.03588681849551412,-0.037878787878787804,141,629,4,12098,2,432,197,0,0,0,-5.0,1.0,-24.0,-55.0,-55.0,-150.0,-891.0,955.0,-4085.0,-1.0,-3.0,-2.0,0.0,0.0,0.0,-0.03424657534246575,0.007142857142857143,-0.14545454545454545,-0.0804093567251462,-0.0804093567251462,-0.1925545571245186,-0.06859650473477558,0.08570402943552005,-0.25242538466291786,-0.2,-0.42857142857142855,-0.3333333333333333,0.0,0.0,0.0,0,0,0,2,1.0,1.0,0.0,0.0,0.0,3.0,34.67,1.0,1.0,0.0,0.0,0.0,3.0,34.67,3.0,1.0,1.0,0.0,1.0,3.3333333333333335,37.66,0,0,0,0,CT008189,1,2419218.54,4838437.08,Two-year,False,210.0,520.0,0,0,0
C18104,2025-08-25,0,Logistics,APAC,SMB,180,Direct Sales,515,1.4099931553730323,97.4,65.83,0.3069,0.8752,Improving,0.030000000000001137,-2.5999999999999943,-2.5999999999999943,0.0003081031118414413,-0.025999999999999943,-0.025999999999999943,50,180,5,3168,1,180,0,0,0,0,-2.0,0.0,-1.0,-14.0,-29.0,-28.0,-177.0,-775.0,455.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.038461538461538464,0.0,-0.0196078431372549,-0.07216494845360824,-0.13875598086124402,-0.1346153846153846,-0.05291479820627803,-0.1965508496068983,0.16771102100995208,0.0,0.25,0.0,0.0,0.0,0.0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,5.0,38.91,2.0,1.0,0.0,0.0,1.0,4.5,25.735000000000007,3.0,1.0,0.0,0.0,1.0,4.333333333333333,55.6,0,0,0,1,CT018104,1,519356.3,1038712.6,Two-year,True,515.0,215.0,0,0,0
