customer_id,snapshot_date,churn_90d
C09149,2024-04-15,0
C08361,2025-03-24,0
C02323,2024-04-15,0
C01309,2025-08-18,1
C01927,2025-04-07,0
C07951,2025-07-07,0
C02057,2024-08-12,0
C16589,2025-04-21,0
C00032,2024-12-30,0
C04535,2025-03-17,0
C13805,2024-12-30,0
C10553,2025-09-15,0
C04490,2024-07-08,0
C19763,2024-10-21,0
C11723,2025-09-08,0
C15732,2024-06-03,0
C11258,2025-03-17,0
C01821,2024-07-22,0
C15665,2025-06-16,0
C13675,2025-08-18,0
C11617,2025-05-26,0
C13944,2025-07-14,0
C12366,2024-04-15,1
C09210,2025-05-05,0
C01208,2024-12-30,0
C08306,2024-12-02,0
C09374,2024-05-13,0
C09353,2024-07-08,0
C16183,2025-01-20,0
C17789,2025-01-13,0
C10202,2025-03-10,0
C15675,2024-03-18,0
C19952,2025-03-03,0
C09523,2024-10-28,0
C04575,2024-07-01,0
C00320,2025-04-28,0
C09598,2024-08-05,0
C11345,2024-10-14,0
C19955,2025-04-28,0
C03371,2024-09-30,0
C05360,2025-06-23,0
C01820,2024-10-21,0
C06904,2024-03-18,0
C11205,2025-10-06,0
C05701,2025-05-26,0
C12753,2025-09-08,0
C13123,2024-04-22,0
C06094,2024-12-30,0
C03775,2024-12-09,0
C15138,2025-09-29,0
C12870,2025-08-18,0
C14208,2024-12-02,0
C03842,2025-09-08,0
C14136,2025-07-07,0
C14214,2024-10-07,0
C13139,2025-04-14,0
C14015,2025-06-16,0
C13092,2025-04-14,0
C02326,2025-06-30,1
C06923,2025-03-17,0
C14604,2024-08-26,0
C00001,2025-04-21,0
C16024,2025-03-24,0
C17039,2025-04-28,0
C00271,2024-05-20,0
C19065,2024-08-12,0
C03680,2025-10-06,1
C03373,2025-05-05,0
C11712,2024-08-26,0
C00215,2024-05-27,0
C03395,2024-12-23,0
C17821,2025-09-15,0
C09793,2025-03-24,0
C03657,2025-06-30,0
C00020,2025-01-13,0
C10841,2024-11-11,1
C08700,2025-06-02,0
C02988,2024-11-04,0
C16943,2024-12-02,0
C02814,2024-08-12,0
C18424,2024-05-20,0
C19418,2024-05-06,0
C16680,2024-04-15,0
C08337,2025-02-10,0
C17519,2025-05-05,1
C04587,2025-04-21,0
C16607,2024-05-13,0
C01597,2025-07-21,0
C05667,2025-09-01,0
C19765,2025-09-22,0
C06381,2025-03-24,0
C11704,2024-11-18,0
C15894,2025-04-14,0
C02989,2025-01-20,0
C09058,2025-07-21,0
C18752,2025-09-15,0
C11438,2024-08-26,1
C12714,2024-12-23,0
C19498,2025-08-18,0
C03951,2024-05-20,1
C13517,2025-07-21,0
C11587,2024-12-09,0
C18818,2024-11-11,0
C02814,2024-10-28,0
C11112,2024-05-20,0
C11541,2025-09-15,0
C14342,2024-07-08,0
C09473,2025-05-19,0
C19065,2024-04-08,0
C15533,2025-03-17,0
C04271,2025-10-06,0
C02986,2025-08-18,0
C15899,2025-05-12,0
C17572,2025-08-25,0
C14979,2024-09-02,0
C12688,2025-04-07,0
C03794,2024-12-09,0
C17761,2025-04-07,0
C03008,2024-11-25,0
C10130,2025-05-12,0
C16816,2024-12-16,0
C17430,2024-04-08,0
C07482,2024-07-15,0
C12228,2024-07-15,0
C08905,2025-08-11,1
C06334,2024-11-04,0
C05355,2025-07-21,0
C11689,2025-05-12,0
C18219,2025-08-25,1
C11445,2025-07-07,0
C06618,2024-10-14,0
C05330,2024-08-26,0
C14050,2025-08-18,0
C15221,2025-04-07,0
C11723,2025-09-01,0
C08675,2025-04-07,0
C06374,2025-01-13,0
C18377,2025-06-23,0
C02937,2024-12-16,0
C04053,2024-06-17,0
C03679,2024-02-19,0
C01891,2024-09-02,0
C09612,2025-04-28,0
C15031,2025-04-28,0
C01433,2024-04-15,0
C00697,2025-07-07,0
C04087,2025-10-06,0
C13774,2025-08-18,0
C15430,2024-11-04,0
C11455,2025-09-22,0
C05498,2025-01-27,0
C11982,2024-08-26,0
C17664,2024-10-07,0
C10854,2025-07-21,0
C00786,2025-04-21,0
C02272,2025-09-08,0
C11952,2025-04-21,0
C12490,2024-07-29,0
C11795,2024-08-05,0
C05412,2025-03-03,0
C14559,2025-03-10,0
C18576,2024-11-18,0
C01659,2025-02-03,0
C04503,2025-08-25,0
C15238,2024-08-12,0
C01604,2025-07-14,0
C06169,2025-09-29,0
C09606,2025-01-27,1
C16552,2024-10-14,0
C16043,2025-01-27,0
C05813,2024-05-27,0
C04372,2025-05-26,0
C05689,2025-07-07,0
C16898,2025-04-21,0
C18660,2024-05-20,0
C02507,2025-09-15,0
C03736,2025-07-21,0
C16484,2025-06-23,0
C01756,2024-01-22,0
C19508,2024-08-19,0
C05415,2025-03-03,0
C01549,2025-09-15,0
C01324,2025-08-18,0
C11366,2024-08-12,0
C06580,2025-06-02,0
C14538,2025-10-06,0
C02303,2024-07-29,0
C07005,2025-08-11,0
C00035,2024-07-29,0
C03557,2025-03-10,0
C17475,2025-10-06,0
C00235,2025-01-27,0
C08225,2024-10-14,0
C13086,2025-08-25,0
C19651,2025-01-20,0
C05033,2025-03-10,0
C10161,2025-09-22,0
C04362,2025-06-02,0
C09123,2024-03-18,0
C18150,2025-01-27,0
C07441,2025-04-21,0
C12410,2025-08-25,0
C05622,2025-07-14,1
C09271,2024-06-17,0
C10511,2025-03-03,1
C11519,2024-12-02,0
C12804,2024-04-22,0
C02075,2025-09-22,0
C19049,2024-08-19,1
C12755,2025-04-21,0
C11402,2024-09-30,0
C05114,2024-11-11,0
C10304,2025-05-26,0
C07462,2025-06-16,0
C00649,2025-03-03,0
C15048,2025-04-21,0
C15234,2025-05-12,0
C06153,2024-08-19,0
C12448,2025-09-22,0
C14271,2025-03-24,0
C06992,2024-10-07,0
C16933,2025-03-31,0
C01354,2025-09-08,0
C05112,2025-04-07,0
C19889,2025-04-14,0
C09074,2025-02-17,0
C02051,2025-07-07,0
C08135,2025-02-10,0
C03482,2025-02-03,0
C16166,2025-09-01,0
C13448,2025-02-24,1
C14730,2025-02-03,0
C09748,2024-03-11,0
C19137,2025-03-17,0
C09499,2025-03-24,0
C12720,2024-03-18,0
C17337,2025-10-06,0
C14183,2025-02-03,0
C16486,2024-08-12,0
C13286,2024-12-09,0
C04137,2024-06-17,0
C18499,2024-02-05,0
C14994,2025-02-03,0
C00154,2025-05-26,0
C07742,2024-06-03,0
C06098,2025-03-31,0
C03214,2025-01-06,0
C06058,2024-09-23,1
C16116,2024-09-16,0
C10960,2024-09-16,0
C09636,2025-05-19,1
C08486,2025-03-17,0
C01686,2025-04-07,0
C07810,2025-01-13,0
C06249,2025-08-25,0
C02082,2024-10-07,0
C04771,2025-01-06,0
C19741,2024-08-05,0
C12282,2024-05-20,0
C11161,2024-12-16,0
C04051,2025-02-24,0
C17123,2025-05-05,0
C10445,2025-06-23,0
C16827,2024-11-18,0
C14161,2025-08-04,0
C12296,2025-02-10,0
C06394,2025-09-08,0
C17443,2025-05-19,0
C19018,2025-05-26,0
C09919,2024-09-23,0
C04921,2025-05-19,1
C02909,2025-04-21,0
C19924,2025-01-20,0
C04161,2024-04-22,0
C13087,2025-01-20,0
C10922,2024-12-23,0
C18420,2025-06-02,0
C05650,2025-02-17,0
C14641,2025-07-07,0
C02783,2025-02-17,1
C17628,2024-03-25,0
C07593,2024-11-25,0
C13013,2024-12-23,0
C08266,2024-11-25,0
C03569,2025-04-28,0
C17143,2025-06-02,0
C05547,2025-09-29,0
C19700,2025-05-12,0
C04859,2025-06-16,0
C16867,2025-06-09,0
C05577,2025-07-28,0
C06906,2024-12-23,0
C06299,2025-07-07,0
C11440,2025-06-16,0
C16234,2025-10-06,0
C03766,2025-10-06,0
C15516,2025-07-07,0
C15665,2025-08-25,0
C10413,2025-06-30,0
C04681,2024-11-25,0
C06470,2024-01-15,0
C03173,2025-05-12,0
C05597,2025-05-26,0
C03008,2025-09-22,0
C06488,2025-03-10,0
C00045,2025-02-24,0
C03570,2025-03-24,0
C09627,2025-09-15,0
C17788,2025-04-28,0
C18364,2024-12-02,0
C17995,2025-08-18,0
C00459,2025-03-31,1
C10829,2024-12-23,0
C02971,2025-01-13,0
C15184,2025-03-24,0
C19902,2025-05-12,0
C08741,2025-06-09,0
C17398,2025-02-17,0
C13028,2024-07-08,0
C05279,2025-02-03,0
C06511,2024-11-18,0
C19515,2025-02-03,0
C15452,2025-04-28,0
C06880,2024-05-27,0
C04969,2024-09-23,0
C16025,2025-03-31,0
C17864,2025-02-24,0
C04464,2024-07-29,0
C02885,2025-07-28,0
C00331,2024-04-01,0
C00893,2024-08-19,0
C18895,2025-06-09,0
C11956,2024-12-16,0
C01250,2024-09-16,0
C11569,2024-12-23,0
C02165,2025-09-01,0
C15585,2025-01-20,0
C14809,2024-11-18,0
C06243,2025-01-06,0
C16090,2025-08-18,0
C10126,2025-05-26,0
C07059,2025-01-20,0
C11860,2024-11-11,0
C15221,2025-07-14,0
C03663,2024-10-28,0
C12709,2024-12-09,0
C02112,2025-09-01,0
C01584,2024-11-11,0
C13782,2025-08-11,0
C19438,2025-06-30,1
C05607,2024-05-27,0
C04443,2025-07-21,0
C03979,2025-02-03,0
C00797,2025-01-27,0
C01024,2025-01-27,0
C03303,2024-10-21,0
C12749,2025-10-06,0
C17436,2024-12-16,0
C12319,2024-12-23,0
C01789,2025-04-28,0
C15262,2025-04-28,0
C16242,2025-03-10,0
C07103,2025-03-31,0
C09953,2025-04-14,1
C01460,2024-10-28,0
C15910,2025-07-28,0
C03827,2025-05-26,0
C03898,2025-03-10,0
C01812,2024-10-14,0
C17436,2025-06-23,0
C16143,2025-02-17,0
C17898,2025-06-23,0
C08732,2024-11-04,0
C06892,2024-09-02,0
C02297,2025-02-03,0
C01584,2025-01-06,0
C00626,2025-01-20,0
C12424,2024-07-15,0
C19511,2025-08-25,0
C02392,2024-11-04,0
C04575,2024-10-14,0
C16139,2025-06-09,0
C14145,2025-07-07,0
C08215,2024-10-21,0
C12994,2024-05-06,0
C00223,2025-08-04,0
C17188,2025-08-18,0
C18367,2024-09-23,0
C06647,2025-09-15,0
C02415,2025-09-29,0
C03498,2025-06-23,0
C05702,2025-03-10,0
C13842,2025-05-26,0
C16333,2025-06-16,0
C05041,2025-08-25,0
C00496,2024-12-30,0
C07334,2025-04-14,0
C17138,2024-09-16,0
C16739,2025-04-28,0
C09271,2025-02-24,0
C12493,2025-05-26,0
C11343,2025-07-21,1
C15407,2025-02-03,1
C04127,2025-03-24,0
C13129,2024-12-02,0
C08279,2025-01-27,0
C14231,2025-07-21,0
C16822,2025-04-07,0
C10380,2025-02-24,0
C15455,2024-10-14,0
C13404,2024-12-09,0
C08635,2024-10-07,0
C06613,2025-09-29,0
C01291,2025-08-18,0
C02793,2025-09-01,0
C03112,2025-04-28,0
C09287,2025-09-01,0
C01310,2025-09-08,0
C09835,2024-11-11,0
C07861,2024-12-09,0
C15756,2025-09-29,0
C11149,2025-09-15,0
C09075,2024-11-25,0
C10761,2024-10-07,0
C02924,2025-05-05,0
C17459,2024-07-08,0
C04343,2025-04-14,0
C04491,2025-06-02,0
C12132,2025-03-24,0
C02282,2024-10-14,0
C10374,2024-07-22,0
C11345,2024-07-15,0
C13382,2024-07-01,0
C13494,2025-05-19,0
C17733,2024-07-22,0
C01389,2024-10-14,0
C01123,2025-06-23,0
C07111,2025-05-12,0
C00674,2025-02-03,0
C07480,2025-02-03,0
C17234,2025-09-15,0
C13676,2025-09-15,0
C06015,2024-06-10,0
C17827,2024-11-04,0
C09713,2025-09-22,0
C03360,2025-08-11,0
C14512,2025-06-02,0
C11845,2025-09-01,0
C03654,2025-01-27,0
C00540,2025-04-21,1
C11213,2025-09-01,0
C11101,2025-02-03,0
C01029,2025-03-10,0
C07483,2025-02-10,0
C15688,2025-04-14,0
C13176,2024-10-21,0
C15215,2025-07-14,0
C12429,2025-07-07,0
C12943,2025-04-28,0
C17271,2025-04-07,0
C05694,2024-11-18,0
C16871,2025-08-25,0
C08524,2024-09-16,0
C15938,2024-12-30,0
C16172,2025-06-30,0
C07990,2025-05-19,0
C16753,2025-01-27,0
C15508,2025-01-20,0
C17389,2024-06-17,0
C09576,2025-06-02,0
C00979,2024-06-17,0
C16605,2025-04-28,0
C12111,2025-06-23,0
C00352,2024-07-01,0
C00318,2025-05-19,0
C18350,2024-09-23,1
C02690,2024-10-14,0
C16966,2025-04-14,1
C17763,2025-04-21,0
C12743,2024-08-12,0
C09353,2024-05-27,0
C17316,2025-05-19,0
C10728,2024-06-17,0
C13796,2024-05-27,0
C19618,2025-08-25,0
C09054,2024-10-28,0
C07571,2025-06-23,0
C11312,2025-09-01,0
C03579,2024-10-07,0
C15075,2025-03-10,0
C19474,2025-05-05,0
C19676,2025-09-22,0
C12160,2025-10-06,0
C19791,2024-09-16,0
C14230,2024-11-25,0
C01413,2025-06-30,0
C18821,2025-08-18,0
C05834,2025-01-13,0
C19501,2025-07-07,0
C07840,2025-06-09,0
C02037,2025-06-09,0
C05377,2025-01-20,0
C10651,2025-08-18,0
C01738,2024-12-16,0
C10369,2025-09-08,0
C18932,2024-01-29,0
C11861,2024-09-30,0
C11862,2024-12-16,0
C14478,2025-06-09,0
C17224,2024-09-23,0
C07643,2025-03-17,0
C11468,2025-06-16,0
C02250,2025-03-17,0
C09026,2025-03-17,0
C02981,2025-05-05,1
C15393,2025-02-03,0
C07163,2024-12-16,0
C14531,2025-07-21,0
C17534,2025-02-17,0
C18071,2025-03-10,0
C07046,2025-05-26,0
C08646,2024-07-15,0
C12318,2024-12-16,1
C08056,2025-07-14,1
C03913,2024-08-12,0
C04286,2025-03-31,0
C02954,2025-04-28,0
C14332,2024-09-16,0
C18079,2025-07-21,0
C01530,2024-06-17,0
C10457,2024-09-16,0
C02435,2025-01-27,0
C12958,2025-10-06,0
C13967,2024-02-12,0
C07617,2025-02-03,0
C12813,2025-03-31,1
C02489,2024-03-04,0
C16654,2025-02-24,0
C14525,2025-08-25,0
C19919,2025-06-30,0
C03685,2024-04-22,0
C00113,2024-09-09,0
C06731,2025-07-14,0
C08653,2025-01-06,0
C09092,2024-10-14,0
C15735,2025-06-09,0
C14368,2025-02-03,0
C16712,2024-08-12,0
C10101,2025-05-12,0
C11895,2025-02-10,0
C02112,2024-09-30,0
C09429,2025-06-30,0
C00807,2024-06-24,0
C14511,2025-04-28,0
C19621,2025-04-14,0
C17235,2025-08-25,0
C14238,2024-09-23,0
C11290,2025-07-07,0
C01143,2024-10-14,0
C18506,2024-04-15,0
C01896,2024-07-08,0
C01393,2024-06-24,0
C07651,2025-06-09,0
C08465,2024-12-16,0
C12360,2025-02-10,0
C19147,2025-03-31,0
C03556,2024-01-15,0
C10365,2024-11-04,0
C17666,2025-02-10,0
C08619,2025-09-15,0
C03702,2025-03-10,0
C13806,2025-09-01,0
C11010,2024-12-02,0
C16354,2024-10-28,0
C16290,2024-11-25,0
C07177,2025-01-06,0
C02756,2025-08-11,0
C11468,2025-07-28,0
C05525,2025-08-04,0
C17728,2025-05-12,0
C04987,2025-10-06,0
C17191,2024-04-29,0
C11944,2025-08-04,1
C06289,2024-10-14,0
C19233,2024-10-28,0
C17988,2025-08-25,0
C04142,2025-09-29,0
C16280,2024-06-24,0
C19068,2025-09-01,0
C18104,2024-12-30,0
C03269,2024-08-26,0
C00322,2024-07-29,0
C04919,2025-08-11,0
C02075,2024-09-23,0
C13432,2024-09-09,0
C15172,2025-08-04,0
C10115,2024-09-30,0
C17879,2024-11-18,0
C16090,2025-06-02,0
C17303,2024-12-09,0
C05822,2024-05-06,0
C08580,2025-07-14,0
C03904,2025-09-15,0
C01534,2025-05-12,0
C03054,2025-08-04,0
C13668,2025-01-13,0
C08797,2025-09-29,0
C06357,2025-07-07,0
C17741,2025-06-23,0
C05288,2025-02-10,0
C08441,2025-06-16,0
C03952,2024-12-02,0
C15417,2024-08-19,0
C10441,2024-08-26,0
C09632,2025-03-10,0
C05775,2024-10-28,0
C03548,2024-07-01,0
C01157,2025-08-04,0
C06785,2024-11-04,0
C17364,2025-06-16,0
C09370,2024-12-23,0
C03405,2024-10-28,0
C12058,2024-10-14,0
C04941,2025-03-17,0
C04308,2024-04-08,0
C02341,2024-10-21,0
C07445,2025-01-27,0
C03351,2025-01-13,0
C19163,2024-10-21,0
C10365,2024-09-30,0
C13153,2025-06-09,0
C19305,2024-10-21,0
C08520,2025-05-19,0
C19952,2025-02-03,0
C14871,2025-02-17,0
C14673,2024-02-05,0
C11567,2024-08-19,0
C09222,2025-05-26,0
C18125,2025-02-17,0
C07026,2024-10-14,0
C19312,2024-04-15,0
C11238,2025-09-01,0
C08742,2025-02-24,0
C10802,2024-07-15,0
C11393,2024-12-09,0
C09493,2024-08-05,0
C10170,2025-09-01,0
C07129,2025-06-02,0
C13446,2024-09-09,0
C11413,2025-04-14,0
C19960,2024-07-08,0
C09538,2024-05-27,0
C08135,2024-06-24,0
C19874,2025-04-21,0
C01832,2024-11-25,0
C11452,2024-07-01,0
C02454,2025-01-27,0
C05114,2025-05-26,0
C03505,2024-09-02,0
C19579,2025-09-22,0
C00219,2025-06-30,0
C18729,2025-05-05,0
C11890,2024-12-16,0
C07519,2025-03-24,0
C05775,2024-07-01,0
C06358,2024-04-08,0
C13636,2024-06-24,0
C18286,2024-09-16,0
C17959,2024-02-12,0
C01708,2024-12-23,0
C16629,2025-05-26,0
C00396,2025-09-29,0
C05068,2025-06-02,0
C19103,2025-08-25,0
C17144,2024-08-12,0
C10062,2025-05-26,0
C03351,2025-08-18,0
C05715,2024-12-30,0
C16824,2024-09-09,1
C11880,2025-04-28,0
C02945,2025-06-30,0
C09018,2025-05-12,0
C01820,2025-04-07,0
C10084,2025-09-15,0
C07399,2025-02-17,0
C02180,2025-07-14,0
C01853,2025-06-30,0
C05640,2025-06-02,1
C12684,2024-04-08,0
C18899,2025-08-25,0
C11697,2024-07-08,0
C15446,2025-01-20,0
C00187,2025-06-23,0
C09392,2024-10-14,0
C09488,2025-01-06,0
C18821,2025-06-23,0
C03607,2025-06-02,0
C12879,2025-08-11,0
C04629,2024-10-07,0
C03319,2025-02-24,0
C09191,2024-06-10,0
C16649,2025-03-03,0
C03031,2024-11-11,0
C02719,2025-09-15,0
C03447,2025-04-21,0
C02460,2025-05-12,0
C06189,2025-08-04,0
C13404,2025-04-28,0
C17158,2025-08-11,0
C10521,2025-09-01,0
C11721,2024-10-28,0
C00066,2024-12-02,0
C15611,2024-10-28,0
C19760,2025-07-21,0
C17901,2025-06-30,0
C06394,2025-02-10,0
C11704,2024-12-30,0
C03786,2025-06-02,0
C15804,2025-02-17,0
C12718,2025-03-10,0
C12959,2024-09-02,0
C06581,2025-07-14,0
C08970,2025-04-21,0
C17593,2025-04-14,0
C03483,2024-09-02,0
C14481,2024-12-23,0
C11960,2024-08-12,0
C00097,2025-05-19,0
C00861,2025-07-21,0
C17117,2024-04-01,0
C05322,2025-07-28,0
C14132,2024-10-07,0
C16589,2025-08-25,0
C01341,2024-12-02,0
C10715,2024-12-02,0
C13469,2024-07-29,0
C17530,2024-10-28,0
C00146,2024-11-18,0
C12757,2024-12-02,0
C03449,2024-10-07,0
C03470,2025-09-15,0
C03159,2025-03-17,0
C12527,2025-03-10,0
C13281,2025-05-26,1
C08698,2025-08-11,0
C14541,2025-05-19,0
C15891,2025-02-03,0
C11689,2025-06-16,0
C19450,2025-05-26,0
C09086,2025-02-24,0
C13013,2025-02-17,0
C11210,2025-03-31,0
C16884,2024-12-30,0
C17373,2025-03-31,0
C09989,2024-07-29,0
C05035,2025-01-20,0
C06932,2025-03-31,0
C14205,2024-08-05,0
C15090,2024-11-18,1
C09958,2024-09-02,0
C11648,2024-07-15,0
C10457,2025-06-16,0
C06016,2024-08-26,0
C08969,2025-04-28,0
C01213,2025-07-14,0
C10173,2025-03-24,0
C04617,2024-09-23,0
C08074,2024-02-05,0
C09502,2025-06-23,0
C04570,2025-04-21,0
C17910,2024-07-15,0
C14534,2024-09-16,1
C08324,2025-03-17,0
C14152,2025-01-20,0
C15067,2025-08-25,0
C02329,2025-03-03,0
C00099,2025-09-29,0
C04579,2025-01-13,0
C03113,2025-06-16,0
C17078,2024-02-12,0
C12655,2025-03-31,0
C13037,2024-10-07,1
C16902,2025-05-26,0
C13580,2024-09-16,0
C19357,2025-03-24,0
C18356,2024-08-05,0
C18798,2025-05-12,0
C08560,2025-07-21,0
C00533,2025-05-12,0
C03792,2025-06-09,0
C03406,2024-11-25,0
C17009,2025-10-06,0
C12869,2025-03-31,0
C19171,2025-05-19,0
C16894,2025-09-01,0
C17761,2025-03-31,0
C14628,2025-08-04,0
C04619,2024-12-23,0
C09468,2025-09-22,0
C13118,2024-08-19,0
C16293,2024-07-15,0
C18216,2024-05-20,0
C12716,2024-05-20,0
C15823,2025-08-18,0
C03330,2025-06-09,0
C09665,2025-03-24,0
C18506,2024-09-30,0
C16816,2025-07-21,0
C16034,2025-09-01,0
C13890,2025-05-19,0
C00066,2025-09-01,0
C10868,2025-01-20,0
C11683,2024-06-10,0
C07485,2024-11-04,0
C08698,2025-09-29,0
C03363,2025-02-03,1
C00507,2025-10-06,0
C04771,2025-02-03,0
C01613,2025-03-17,0
C16329,2024-10-07,0
C16423,2025-05-12,1
C11267,2024-09-16,0
C14427,2025-08-04,0
C07741,2025-03-24,0
C04641,2025-08-18,0
C16191,2024-11-18,0
C03864,2025-09-22,0
C10990,2025-01-06,0
C15289,2025-05-19,0
C06130,2024-10-28,0
C13170,2024-12-09,0
C05418,2025-02-10,0
C14866,2025-09-15,0
C01186,2024-02-05,0
C18804,2024-12-09,0
C07557,2024-12-16,0
C13441,2025-04-07,0
C11512,2025-02-17,0
C16290,2025-04-14,1
C16268,2025-07-21,0
C16247,2024-10-14,0
C07496,2024-09-23,0
C19333,2025-05-12,0
C11591,2025-06-23,0
C06221,2025-02-17,0
C06979,2025-02-10,0
C06167,2025-10-06,0
C19234,2025-07-07,0
C07270,2025-07-14,0
C10699,2025-09-22,0
C11521,2024-09-23,0
C08973,2025-06-30,0
